,((6_adde_negative-(6+148))+(33.6*50)_radian_negative),((148_mmnorm_negative*((148*33.6)+33.6))+(33.6*0.627)_radian_zscore),((((72/50)+148_adde)-50)*(33.6*50)),((50_cos_recip-148_adde)*((72/50)-33.6_adde))
153,-242.66682000000003,-8553.37,307991.53,9219.96
154,-200.1342,-5843.108,218092.89,8171.156999999999
155,-114.73466,-1223.8025,42978.27,2572.2498
156,-123.83421000000001,-1517.9004,52832.32,2894.7993
157,-105.853485,-1142.0334,45988.27,2600.6404
158,-233.26873999999998,-5492.766,231156.97,7016.8916
159,-180.37933,-3426.0237,128537.39,4832.7896
160,-147.93509,-1964.5485,102721.21,3935.1128
161,-137.54703999999998,-2912.4983,110605.8,5280.8496
162,-117.60390500000001,-1507.7396,52868.496,3070.5269
163,-151.36705,-2745.2405,105638.32,4183.415
164,-140.11427,-1640.2659,82776.65,3319.5623
165,-169.19738999999998,-3602.013,94178.57,4888.1035
166,-148.28326,-2159.328,91298.88,3756.3364
167,-136.86432,-1957.315,79553.19,3688.8171
168,-134.09282,-1774.3239999999998,72329.98,3223.2488
169,-136.0705,-1626.8263,78720.43,3515.5874
170,-166.63583,-3217.7297,113061.586,4929.186
171,-106.32828500000001,-1111.315,46758.96,2804.8390000000004
172,-101.180305,-1380.4142,61357.645,3645.5454
173,-98.82426,-851.05145,45729.19,4664.4259999999995
174,-218.2643,-5293.815,173893.97,6333.8667
175,-122.58908000000001,-1146.3661,62342.835999999996,2892.5040000000004
176,-162.1673,-5654.144,191817.11,8537.69
177,-192.63199,-4657.0205,212299.16,6758.01
178,-167.96796,-3344.3877,141681.83,5204.1777
179,-114.67561,-893.61096,44706.055,2072.976
180,-135.72804,-2503.6147,81474.766,4305.5166
181,-14.870861999999999,-0.5588286,-8584.676,122.20853000000001
182,-98.34749000000001,-728.15,36860.55,2160.2458
183,-170.98671000000002,-2777.6,116547.38,4134.0977
184,-236.40777999999997,-6823.7285,231642.94,7308.0913
185,-231.23892,-4982.447,225482.0,5854.371999999999
186,-151.14896000000002,-2653.1072,106326.5,6541.4126
187,-142.81363000000002,-1680.8229999999999,71933.64,3115.9402
188,-165.50638,-3090.446,94735.44,4378.635
189,-128.00162,-1412.8295,45405.297,2584.2458
190,-166.82643000000002,-2537.1301,115808.01,4334.0874
191,-194.81915,-3886.6086,139592.48,5303.831
192,-196.23056,-4824.115,204426.64,7659.5166
193,-121.60441599999999,-897.24695,48194.094000000005,2328.4243
194,-190.66042,-4973.8955,153810.9,6356.08
195,-118.6247,-1359.9404,45661.74,2657.1404
196,-124.91093400000001,-1329.8055,47094.324,2558.052
197,-135.51003,-2095.4944,79785.1,3862.2886
198,-174.35817,-3424.9973,110925.75,4797.2334
199,-127.080376,-2005.8372,64141.605,3515.595
200,-162.31483,-3865.7842,129848.27,5654.6504
201,-125.96548500000002,-1614.4832,70624.695,3054.8599
202,-115.33156000000001,-1015.7049,42582.83,2158.098
203,-153.90768,-2029.6113,107878.76,2367.0498
204,-134.9809,-1493.5356,57680.105,2805.7236
205,-252.02469,-7275.566999999999,305772.8,7683.938
206,-208.93372,-5003.3047,224893.72,6563.9014
207,-112.88672,-1554.0164,56309.992,3304.948
208,-226.12155,-6072.6846,215074.95,6790.14
209,-99.80469000000001,-925.1179,42324.414000000004,2317.3757
210,-167.6463,-4679.1333,132775.81,6185.706
211,-231.53243999999998,-5538.0737,253014.89,6458.1064
212,-160.56253,-4225.5225,124146.555,5980.765
213,-154.20677,-2175.5625,99722.36,4244.605
214,-205.44109,-4819.861,186732.9,6515.4243
215,-137.33899,-2156.7654,79832.47,3989.7769
216,-156.47343,-2374.4915,93929.56,3870.6484
217,-113.91493999999999,-1063.7153,53852.566,2544.1753
218,-151.7674,-2404.4395,116743.39,4502.927
219,-192.39983999999998,-5476.2417,117400.7,6256.2119999999995
220,-201.11887,-3988.4448,200388.44,5329.3804
221,-151.99173000000002,-1809.1152,78991.33,3361.6907
222,-189.38022,-2938.4207,148804.27,4537.23
223,-115.42763000000001,-1197.7687,48631.94,2405.864
224,-105.00373,-1332.0754,54245.957,3063.8140000000003
225,-119.91843,-1848.8010000000002,74851.31,3626.6338
226,-186.30058,-4935.5109999999995,127567.69,6129.3813
227,-227.57488999999998,-7188.115,194519.8,7380.951
228,-138.65161,-3136.7258,107451.2,5232.525
229,-169.61307,-4488.762,122575.29,6238.0830000000005
230,-185.81001,-4200.137,196490.48,6559.418000000001
231,-93.47118,-806.7239,35402.574,2025.1033
232,-150.43336000000002,-2639.3759999999997,99534.055,4459.003
233,-94.640625,-828.84265,38714.562000000005,2315.5483
234,-201.50333,-6443.6133,170592.62,7497.948
235,-229.67351000000002,-5942.3687,246009.5,6742.473000000001
236,-199.42116000000001,-7139.058000000001,164956.94,7877.188
237,-201.92023999999998,-4187.3906,135365.53,5113.4424
238,-115.38908400000001,-1010.0582,41002.44,2015.9679
239,-106.42065,-1229.2216,46459.655999999995,2758.4187
240,-114.42777,-1392.5826,54542.25,3091.2708
241,-157.54797,-2503.7996,68807.734,3691.2292
242,-149.32675,-1943.085,80695.76,5576.7905
243,-172.05303999999998,-4120.0664,135527.12,5746.7480000000005
244,-230.37462000000002,-5130.0273,204995.88,5682.1269999999995
245,-167.04453,-2353.2764,109214.04,4056.0537
246,-188.71284,-7197.9414,178788.61,8667.194
247,-165.72507,-2757.7129999999997,114073.74,4611.887
248,-127.8012,-1881.287,65392.867,3361.406
249,-149.58908,-1778.5236,89050.05,3634.6375
250,-148.91296,-2360.1826,81519.02,3730.8691
251,-106.938934,-1004.93164,42193.426,2149.2266
252,-104.33898,-1346.5483,59462.265999999996,3139.8459999999995
253,-139.91356000000002,-1185.8745,63303.484000000004,2709.3154
254,-130.03333,-2174.834,68983.625,3910.7666
255,-135.4786,-1880.3163,77283.21,3319.1079999999997
256,-133.24103,-1891.7369,67759.47,3320.6614
257,-208.56725,-4872.9863,108035.07,5130.8184
258,-209.3592,-4043.8953,183770.42,5399.186
259,-218.0547,-5694.78,169901.22,6162.3
260,-163.85544,-3017.8174,94541.805,4814.210999999999
261,-119.1643,-1470.7892,59039.562000000005,3042.1628
262,-186.34393,-3306.802,169395.34,4864.156
263,-153.26596,-2453.2236,103588.484,4178.48
264,-133.9348,-1570.8718,82988.18,3353.066
265,-156.55714,-3497.5935,105014.336,5451.22
266,-151.47343,-3316.7683,105009.55,5141.056
267,-113.917915,-1326.1802,45433.11,2700.048
268,-166.15732,-2966.5442,92953.07,4525.403
269,-153.96135,-2357.8276,117798.24,4728.5366
270,-123.95456999999999,-1491.6785,49041.316,2809.7625
271,-146.7753,-1735.1106,79734.82,2999.9770000000003
272,-87.88672,-852.9689,39344.79,2432.8188
273,-165.75722,-1949.7634,103261.8,4085.587
274,-124.38973999999999,-2054.5957,81524.766,4110.9194
275,-136.13113,-1510.9597,62853.5,2987.92
276,-117.87791999999999,-1525.7283,55308.668,3011.9565
277,-151.48975,-1640.1576,86600.76,3042.7808
278,-124.43278500000001,-1496.109,50949.195,2815.3127
279,-167.23972,-4087.7046,130759.24,5708.4844
280,-176.15463,-3025.7627,132543.27,4692.5283
281,-170.64128,-2902.215,121194.664,4400.629
282,-202.65555,-3985.199,169381.47,5154.0283
283,-139.2227,-1597.8654,84600.47,3292.9133
284,-175.86133999999998,-2434.225,118238.43,3745.7322
285,-190.68332,-4701.6797,166039.31,6188.661
286,-146.79852,-3270.535,126532.25,5580.887
287,-116.15703,-973.96765,40490.848,2076.0354
288,-141.51039,-2135.988,95184.984,6815.771
289,-94.24284,-1142.5586,49522.9,2924.353
290,-125.68805,-2124.4204,79786.43,4004.6677
291,-158.14583000000002,-3589.8872,137229.23,5638.9697
292,-149.68288,-3359.7524,105674.164,5290.8105
293,-188.56303,-2871.1009999999997,141620.45,3946.9275
294,-183.06685,-4093.7424,127164.96,5571.8745
295,-166.89035,-3020.2478,99171.234,4247.232
296,-141.57787,-2468.6108,79735.234,3780.4973
297,-160.10265,-1857.6173,98345.71,3951.5854
298,-154.60834,-1500.5724,79335.19,2666.3677
299,-186.63052,-4552.906,135387.02,5716.221
300,-164.50638,-3315.7834,97990.24,4662.4507
301,-111.58726000000001,-1081.2452,58967.61,2923.8735
302,-153.5701,-3546.5034,138074.94,6189.418000000001
303,-172.27948,-2391.0667,91509.09,3280.2192
304,-146.81226,-2897.2427,110915.06,4937.0933
305,-204.63605,-3342.7222,141620.86,4409.9575
306,-148.80795,-2357.0522,63514.88,3436.7144
307,-144.02641,-2528.6328,82684.19,3955.9136
308,-147.94467,-2561.5244,97698.16,4010.0437
309,-113.46661,-853.7109,46542.984000000004,2286.573
310,-123.8468,-2244.9492,77925.414,4272.0435
311,-174.25323,-3232.4075,95850.266,4282.7397
312,-134.59009,-1909.4087,68379.734,3466.3213
313,-152.66093,-2161.0723,108952.42,4040.3032
314,-134.19236999999998,-2169.0586,80976.43,3870.8274
315,-117.82373999999999,-960.9278,43068.887,1842.9579999999999
316,-206.15572,-5105.0728,139989.81,5705.6685
317,-142.33746000000002,-2554.799,98226.055,4567.534000000001
318,-232.91727000000003,-4468.3296,192779.39,4929.8345
319,-154.59721000000002,-2317.5374,87512.336,3694.4424
320,-134.50638,-2010.4155,73215.84,3565.732
321,-143.9342,-2134.8325,91402.516,3790.3109999999997
322,-200.83145,-3131.6418,131156.14,4193.7837
323,-131.80302,-2271.2407,72938.09,4061.1917
324,-172.44156999999998,-3192.0823,85228.516,3984.1047
325,-145.0966,-2646.0986,101984.75,4219.2227
326,-224.38487,-5683.682,190402.62,6481.544
327,-126.983154,-2402.8796,89431.18,4741.2570000000005
328,-139.60806000000002,-1723.5444,82746.555,3365.4211
329,-155.26414,-1628.5491,81058.84,2983.9067
330,-107.98635,-1258.8274,54803.797,2936.1292
331,-215.70311,-7089.2676,251592.45,8454.989
332,-150.84178,-1346.0336,69091.47,2639.105
333,-108.895226,-1096.0365,41246.67,2358.4805
334,-189.4546,-6593.1074,180136.34,7925.630999999999
335,-145.67481999999998,-2343.6885,112608.23,4335.3820000000005
336,-151.67816000000002,-2091.868,103571.664,3757.2742
337,-192.41606000000002,-3995.585,140038.84,7948.8794
338,-223.27011000000002,-6388.5864,231916.73,7372.74
339,-144.66316,-2216.719,64900.277,3401.3213
340,-115.99173,-1186.8210000000001,59462.727,2803.2444
341,-17.0054,-0.23432933,-11398.33,117.60071599999999
342,-154.70404,-2617.0442,108010.81,6963.7646
343,-150.32831000000002,-1686.3263,88060.27,3695.7131
344,-177.64392,-3096.0215,153776.52,4943.23
345,-154.73828,-2806.2847,76910.33,4185.5537
346,-134.1518,-1603.5853,51735.734000000004,3161.795
347,-117.61081000000001,-1085.2528,44268.723,2217.1846
348,-39.194927,-0.09894279,-48725.367,58.6689
349,-124.07762,-1814.8129999999999,83802.04,4049.6494
350,-164.05456999999998,-2964.7485,105317.11,4146.055
351,-97.33637,-654.3257,30858.213,2333.2903
352,-106.11178999999998,-1119.4122,46545.703,2470.0073
353,-114.36865,-1756.6963,67640.39,3942.8628
354,-211.7167,-4184.69,179517.94,5149.130999999999
355,-145.99173000000002,-2634.261,94642.32,4407.687
356,-188.35928,-3361.8628,153998.22,5570.982
357,-144.29113999999998,-1389.4589999999998,74994.055,3366.0776
358,-219.19258,-7080.816999999999,182420.8,7321.5337
359,-217.51001000000002,-5629.898,149224.3,6122.044
360,-203.48508,-3762.7112,185542.3,5015.85
361,-160.18927,-2110.3752,107983.79,4327.4473
362,-201.73904,-4151.8403,213795.31,6034.1357
363,-175.99188,-3815.657,127927.625,5034.954000000001
364,-129.52065,-1691.3397,74988.66,3325.4553
365,-152.6879,-2150.1619,80200.92,3564.4805
366,-111.41518400000001,-1087.9374,37822.766,2181.6646
367,-100.27753,-918.4128,39704.56,2228.8704
368,-163.47933999999998,-2938.1013,137245.77,4449.554
369,-198.47343,-5803.439,147838.36,6610.7036
370,-120.71828500000001,-1.2040024,0.0,-40.35832
371,-99.83967,-1284.1665,51698.207,3140.7144
372,-126.94628,-1952.5371,74195.91,3766.659
373,-146.40894,-2728.6377,99916.055,4660.7026
374,-206.40008999999998,-3888.0742,195829.88,5440.8716
375,-110.39439399999999,-1229.212,45707.82,2460.669
376,-106.00206000000001,-1430.9009,57652.645,3373.906
377,-193.69409,-5944.8486,199478.27,7667.1904
378,-122.229836,-1904.299,96571.07,4188.754
379,-124.61976000000001,-1787.8010000000002,65580.555,3276.4666
380,-115.39773600000001,-1119.4293,39076.047,2133.855
381,-123.02787,-1529.7120000000002,49913.13,2868.2509999999997
382,-105.67023,-1031.7349,44049.426,2323.759
383,-140.32115,-1924.0269,64102.355,3068.684
384,-133.05928,-1601.069,53503.02,2717.64
385,-148.44922,-2202.4358,97033.73,3942.7166
386,-157.72603,-2422.1516,126536.58,4634.266
387,-189.11158999999998,-3357.6653,167285.11,4606.9307
388,-124.16096,-1602.6871,68259.54,3308.7852
389,-128.1755,-1624.2179,83717.375,3487.6577
390,-200.25388999999998,-6366.3022,178339.39,7850.24
391,-144.40479,-2059.885,57616.69,3167.7529999999997
392,-140.98984,-1507.6494,68412.24,2685.4824
393,-186.51889,-4152.482,134865.88,5283.9336
394,-145.80469,-2260.5212,74124.016,3616.513
395,-121.531044,-1155.1987,58909.83,2467.4937
396,-146.88853,-2981.1606,86566.41,4582.8857
397,-99.9249,-722.2059,32978.4,1759.4282
398,-216.94627000000003,-6567.0103,151394.7,6779.446999999999
399,-123.03195,-1467.3352,68232.54,3155.1726
400,-174.94861,-2300.0413,114236.22,2439.591
401,-170.09856000000002,-3277.4092,129994.88,4938.373
402,-113.6762,-835.13586,46556.12,2377.0505
403,-204.26102,-4694.812,177082.58,5848.6987
404,-148.82265,-3226.1782,111172.43,5335.9565
405,-148.92068,-1937.6741,97423.086,3607.3340000000003
406,-113.27396399999999,-1134.3684,44456.062000000005,2273.81
407,-233.34784,-5075.4614,164258.12,5236.429
408,-197.43883,-6338.857,177067.16,7503.021
409,-134.1646,-1884.0743,79900.6,3723.0735
410,-131.72812,-2187.56,79634.53,3893.2148
411,-163.9987,-4385.090999999999,118966.01,6059.482
412,-157.32108,-2711.789,70558.8,3746.8018
413,-153.39983999999998,-3334.9263,89063.3,4912.228
414,-195.42609,-5400.695,123729.13,6114.4717
415,-112.16233999999999,-1298.1965,48356.227,2702.008
416,-179.58049,-4039.1404,159450.69,5671.36
417,-96.29483,-637.95953,30091.766,1640.1791
418,-150.61975,-2225.5173,78358.16,3562.2146
419,-144.27477,-3250.0876,116723.38,5363.7390000000005
420,-110.24778,-1166.8014,43110.184,2510.9197
421,-119.59896,-2143.0703,73976.61,4290.5977
422,-133.00708,-2064.8772,64528.585999999996,3642.585
423,-196.67314,-4947.4233,185150.31,7018.869000000001
424,-214.7372,-6329.4883,181494.86,6905.6523
425,-96.718285,-1.2040024,0.0,260.16516
426,-208.33426,-5645.1675,191004.12,6417.9834
427,-156.14197,-3746.115,121746.21,5406.441999999999
428,-125.98548999999998,-1604.5887,85221.016,3434.9072
429,-114.62993999999999,-1105.4393,40193.555,2581.4106
430,-117.880325,-1223.5372,64304.957,2826.3054
431,-96.23746,-976.8568,42294.07,2457.5217
432,-158.6756,-2504.2683,85602.055,3681.1040000000003
433,-110.11209,-1007.3487,51691.523,2546.44
434,-165.17885,-4266.521,141057.61,6544.6357
435,-193.48116000000002,-3710.4226,159153.8,5468.2656
436,-174.33016999999998,-3269.0593,104145.05,4513.6245
437,-108.38893,-870.38855,31360.13,1785.646
438,-141.629,-2136.1086,93040.21,3984.3213
439,-216.26285,-6189.5537,215522.31,6645.6943
440,-102.0822,-1128.0901,47263.234000000004,2767.9
441,-141.62506000000002,-2303.9216,78393.13,3902.4355
442,-144.28502,-1803.1864,80358.45,5785.2344
443,-143.26917,-2060.8184,81780.39,3436.8765
444,-208.63641,-9714.891,238844.83,10720.542
445,-117.0822,-1283.9777,54752.027,2640.2925
446,-114.28146000000001,-1673.0295,70980.65,3475.8047
447,-119.61976000000001,-1843.648,64774.15,3598.7817
448,-136.55875,-2225.9539,78954.6,3680.2666
449,-95.22851,-725.5799599999999,31450.635,1830.2446
450,-152.31949,-2627.1245,77611.54,3960.3259999999996
451,-111.127945,-1678.6268,71259.695,3698.946
452,-150.34837,-1406.4061,70162.445,2739.6172
453,-122.55191,-1918.2302,73454.42,3840.6348
454,-228.00263999999999,-5201.0503,180475.48,6128.142
455,-168.61046000000002,-2463.1519,126785.84,3889.1006
456,-111.36843,-1135.8069,48961.418,2598.1597
457,-204.1867,-4164.880999999999,194378.17,5776.353
458,-191.33354,-2354.703,118807.95,3752.0688
459,-158.14365,-1517.6847,76096.336,2736.4414
460,-85.61081,-560.5056,28398.322,1597.442
461,-116.74623000000001,-983.7628,54397.758,2643.1477
462,-118.54158999999999,-1086.8966,57009.914000000004,2522.3225
463,-151.96016,-1608.1376,70666.125,2834.014
464,-134.7084,-1698.4264,49618.63,2808.8940000000002
465,-87.392715,-775.9480599999999,34911.305,2188.1316
466,-115.775314,-1757.3774,71096.02,3648.13
467,-158.61504,-2189.721,96578.84,3980.8738
468,-190.44238,-5528.8364,165056.12,7355.193
469,-168.90126,-4332.6377,140672.42,6071.2974
470,-152.46616,-3154.9314,88305.44,4606.62
471,-136.61641,-2784.6619,87680.33,4726.899
472,-178.81094,-2800.196,135324.83,4243.122
473,-136.82388,-1904.8346,66159.0,3310.9297
474,-167.83029,-2594.3499,132306.11,4032.265
475,-128.77539,-1884.1666,79627.38,3670.7568
476,-143.59532,-1568.2697,65051.75,2782.7104
477,-162.34784,-2083.5496,92541.02,3339.2490000000003
478,-173.50589,-2470.481,128919.05,3924.64
479,-188.40399,-4481.816,158689.95,5861.0176
480,-143.5346,-2698.5051,101827.625,4432.164000000001
481,-109.303925,-1021.7373,48097.11,2524.861
482,-102.05275,-1371.1036,59115.285,3309.2966
483,-171.63278,-4701.1147,159927.39,6879.3965
484,-155.43686,-3902.6543,118323.19,5710.1875
485,-158.6356,-3979.5151,105701.31,5808.6367
486,-222.78981000000002,-7030.89,321113.22,8010.5513
487,-122.228806,-1274.1855,54684.465,2645.673
488,-243.23885,-4961.707,228926.36,5487.548000000001
489,-105.13303,-1288.6953,56901.59,3068.506
490,-120.27507,-1348.8591,72968.63,3210.5312
491,-128.60973,-1632.5923,76611.08,5923.2773
492,-158.41629,-2285.9402,109598.125,3782.3328
493,-88.718285,-1.2040024,0.0,227.56999
494,-211.35927999999998,-3706.1277,182300.61,4785.5684
495,-136.33185,-1595.8889,66288.266,2810.097
496,-100.85188000000001,-1004.56573,46352.707,2476.1777
497,-235.81255,-4821.5986,198779.58,4048.8376
498,-188.66216,-3513.8162,136684.86,4607.5234
499,-132.95456000000001,-1748.8871,54509.72,2872.397
500,-110.89763,-1335.1439,63839.363,3277.4526
501,-42.626095,1.0046368,-58560.465,149.46712
502,-134.54727,-1493.6062,78203.37,3367.5508
503,-130.75859,-1745.9274,90517.08,3815.1145
504,-119.80368,-954.34094,52990.12,2596.118
505,-205.01486,-5976.0396,191995.1,6736.6016
506,-145.20073,-2447.19,68814.01,3829.2754
507,-101.860466,-1089.6453,43474.55,2721.6062
508,-166.64354,-1824.5281,95899.26,3184.3516
509,-134.56297,-1066.1349,57767.723,2746.9146
510,-149.81833999999998,-2161.9836,57395.55,3138.7188
511,-136.21573,-1018.9294,51779.793,2196.8337
512,-108.20073000000001,-1148.6082,44766.6,2576.3477
