,INDUS_square_negative,NOX_exp_negative,LSTAT_tanh_negative,LSTAT_recip_negative,PTRATIO_zscore_negative,RM_zscore_abs,RM_negative_abs,NOX_exp_relu,ZN_tanh_relu,RM_relu_relu,LSTAT_square_relu,ZN_recip_relu,NOX_tanh_sigmoid,PTRATIO_radian_sigmoid,LSTAT_recip_sigmoid,CRIM_radian_sigmoid,NOX_tanh_cos,RM_negative_cos,RM_tanh_cos,LSTAT_radian_cos,RM_relu_cos,RM_zscore_tanh,LSTAT_recip_tanh,RM_adde_tanh,NOX_exp_tanh,RM_tanh_tanh,INDUS_square_mmnorm,PTRATIO_relu_mmnorm,NOX_exp_mmnorm,RM_relu_mmnorm,NOX_tanh_mmnorm,LSTAT_square_mmnorm,RM_zscore_recip,LSTAT_radian_recip,LSTAT_adde_recip,ZN_recip_recip,LSTAT_square_recip,NOX_tanh_adde,RM_negative_adde,LSTAT_adde_adde,LSTAT_square_adde,RM_adde_adde,MEDV
10,-61.936897,-1.6887691,-1.0,-0.048899755,1.5052366,0.13158926,6.377,1.6887691,1.0,6.377,418.20255,12.5,0.6179323,0.56593627,0.5122225,0.5009813,0.8866339,0.99560267,0.54030716,0.93697745,0.99560267,0.13083497,0.048860814,1.0,0.93399024,0.7615917,0.08023609,0.2765957,0.23829341,0.53956693,0.33968318,0.28859496,7.5994043,2.8017495,0.043162458,12.5,0.0023911858,3.199063,-3.658718,25.886562,420.92084,11.813563,15.0
11,-61.936897,-1.6887691,-1.0,-0.07535795,1.5052366,0.39268515,6.009,1.6887691,1.0,6.009,176.09291,12.5,0.6179323,0.56593627,0.51883054,0.50051254,0.8866339,0.96264607,0.5403124,0.9732992,0.96264607,-0.37367272,0.07521562,0.99999994,0.93399024,0.7615891,0.08023609,0.2765957,0.23829341,0.46905535,0.33968318,0.12031461,-2.5465693,4.3176923,0.062545806,12.5,0.0056788204,3.199063,-3.290718,18.706564,178.81119,11.445563,18.9
12,-61.936897,-1.6887691,-1.0,-0.06365372,1.5052366,0.56364405,5.889,1.6887691,1.0,5.889,246.80411,12.5,0.6179323,0.56593627,0.51590806,0.50040925,0.8866339,0.92330974,0.5403152,0.9626445,0.92330974,-0.51067615,0.06356789,0.99999994,0.93399024,0.7615877,0.08023609,0.2765957,0.23829341,0.4460624,0.33968318,0.16946301,-1.7741693,3.6470897,0.05426442,12.5,0.0040517966,3.199063,-3.1707182,21.146564,249.52238,11.325563,21.7
13,-66.259605,-1.7125782,-0.9999999,-0.12106537,-1.1764656,0.47816458,5.949,1.7125782,0.0,5.949,68.2276,0.0,0.62045324,0.5906176,0.53022945,0.50274783,0.8816389,0.9446778,0.5403137,0.98962635,0.9446778,-0.4447725,0.12047733,0.99999994,0.9369631,0.7615884,0.085855134,0.89361703,0.26418173,0.4575588,0.37161243,0.045341924,-2.09133,6.936535,0.091088936,0.0,0.014656825,3.2097542,-3.2307181,13.696564,70.945885,11.385564,20.4
14,-66.259605,-1.7125782,-1.0,-0.09746589,-1.1764656,0.2687393,6.096,1.7125782,0.0,6.096,105.2676,0.0,0.62045324,0.5906176,0.5243472,0.5027836,0.8816389,0.98253196,0.54031086,0.9840096,0.98253196,-0.26245138,0.097158425,0.99999994,0.9369631,0.7615899,0.085855134,0.89361703,0.26418173,0.48572522,0.37161243,0.07108689,-3.7210782,5.584384,0.0770518,0.0,0.009499599,3.2097542,-3.3777184,15.696564,107.985886,11.532563,18.2
15,-66.259605,-1.7125782,-0.99999994,-0.11806375,-1.1764656,0.642,5.834,1.7125782,0.0,5.834,71.740906,0.0,0.62045324,0.5906176,0.5294817,0.5027375,0.8816389,0.90080124,0.5403167,0.9890931,0.90080124,-0.5662598,0.117518224,0.99999994,0.9369631,0.7615869,0.085855134,0.89361703,0.26418173,0.43552405,0.37161243,0.047783878,-1.5576323,6.7645545,0.08937923,0.0,0.013939049,3.2097542,-3.1157184,13.906564,74.45919,11.270564,19.9
16,-66.259605,-1.7125782,-0.9999961,-0.15197569,-1.1764656,0.49810973,5.935,1.7125782,0.0,5.935,43.2964,0.0,0.62045324,0.5906176,0.53792095,0.5045985,0.8816389,0.9399934,0.5403141,0.99341285,0.9399934,-0.46062928,0.15081637,0.99999994,0.9369631,0.7615883,0.085855134,0.89361703,0.26418173,0.45487636,0.37161243,0.028013285,-2.0075898,8.707565,0.107546754,0.0,0.02309661,3.2097542,-3.2167182,12.016563,46.01468,11.371564,23.1
17,-66.259605,-1.7125782,-1.0,-0.06816632,-1.1764656,0.41975376,5.99,1.7125782,0.0,5.99,215.20891,0.0,0.62045324,0.5906176,0.51703495,0.50342166,0.8816389,0.9573281,0.5403128,0.9674005,0.9573281,-0.396723,0.068060935,0.99999994,0.9369631,0.76158893,0.085855134,0.89361703,0.26418173,0.4654147,0.37161243,0.14750251,-2.382349,3.9056427,0.057509992,0.0,0.0046466477,3.2097542,-3.271718,20.106564,217.92719,11.426563,17.5
18,-66.259605,-1.7125782,-1.0,-0.0855432,-1.1764656,1.1805214,5.456,1.7125782,0.0,5.456,136.6561,0.0,0.62045324,0.5906176,0.52137274,0.5035024,0.8816389,0.67695004,0.540333,0.9792582,0.67695004,-0.827616,0.08533515,0.9999998,0.9369631,0.7615788,0.085855134,0.89361703,0.26418173,0.3630963,0.37161243,0.092903726,-0.84708333,4.9012647,0.06940453,0.0,0.007317639,3.2097542,-2.737718,17.126564,139.37437,10.892564,20.2
19,-66.259605,-1.7125782,-1.0,-0.088652484,-1.1764656,0.79443836,5.727,1.7125782,0.0,5.727,127.238396,0.0,0.62045324,0.5906176,0.5221486,0.50316685,0.8816389,0.84927535,0.54032016,0.980683,0.84927535,-0.6609161,0.088420965,0.9999999,0.9369631,0.76158524,0.085855134,0.89361703,0.26418173,0.41502208,0.37161243,0.08635788,-1.2587509,5.0794134,0.071437344,0.0,0.007859263,3.2097542,-3.0087185,16.716564,129.95668,11.163564,18.2
20,-66.259605,-1.7125782,-1.0,-0.047573738,-1.1764656,1.0181098,5.57,1.7125782,0.0,5.57,441.84042,0.0,0.62045324,0.5906176,0.5118912,0.50546175,0.8816389,0.75628185,0.5403267,0.9334553,0.75628185,-0.76909554,0.047537882,0.9999999,0.9369631,0.761582,0.085855134,0.89361703,0.26418173,0.3849396,0.37161243,0.30502465,-0.9822123,2.7257743,0.04212605,0.0,0.0022632605,3.2097542,-2.8517184,26.456562,444.55872,11.006564,13.6
21,-66.259605,-1.7125782,-1.0,-0.07230658,-1.1764656,0.45536968,5.965,1.7125782,0.0,5.965,191.26889,0.0,0.62045324,0.5906176,0.5180688,0.50371766,0.8816389,0.9498047,0.54031336,0.97100925,0.9498047,-0.42630285,0.07218084,0.99999994,0.9369631,0.7615887,0.085855134,0.89361703,0.26418173,0.46062464,0.37161243,0.1308628,-2.196018,4.142862,0.06042923,0.0,0.005228242,3.2097542,-3.2467184,19.266563,193.98717,11.401564,19.6
22,-66.259605,-1.7125782,-1.0,-0.053418804,-1.1764656,0.20320502,6.142,1.7125782,0.0,6.142,350.4384,0.0,0.62045324,0.5906176,0.51335156,0.5053775,0.8816389,0.9900499,0.5403101,0.9470983,0.9900499,-0.2004535,0.05336805,0.99999994,0.9369631,0.76159024,0.085855134,0.89361703,0.26418173,0.4945392,0.37161243,0.2414949,-4.9211383,3.060672,0.04664553,0.0,0.0028535686,3.2097542,-3.4237185,24.156563,353.15668,11.578564,15.2
23,-66.259605,-1.7125782,-1.0,-0.050301813,-1.1764656,0.67191774,5.813,1.7125782,0.0,5.813,395.21436,0.0,0.62045324,0.5906176,0.5125728,0.50431275,0.8816389,0.89148444,0.54031736,0.94040686,0.89148444,-0.58624,0.05025943,0.99999994,0.9369631,0.76158667,0.085855134,0.89361703,0.26418173,0.43150026,0.37161243,0.2726168,-1.4882774,2.8820815,0.04425115,0.0,0.0025302724,3.2097542,-3.0947185,25.316563,397.93265,11.249564,14.5
24,-66.259605,-1.7125782,-1.0,-0.061349697,-1.1764656,0.5137812,5.924,1.7125782,0.0,5.924,265.68997,0.0,0.62045324,0.5906176,0.51533264,0.50327355,0.8816389,0.93618345,0.5403143,0.9598053,0.93618345,-0.47288612,0.061272845,0.99999994,0.9369631,0.76158816,0.085855134,0.89361703,0.26418173,0.45276862,0.37161243,0.1825898,-1.9463539,3.5150788,0.05258099,0.0,0.0037637854,3.2097542,-3.205718,21.73656,268.40826,11.360563,15.6
25,-66.259605,-1.7125782,-1.0,-0.06056935,-1.1764656,0.976795,5.599,1.7125782,0.0,5.599,272.5801,0.0,0.62045324,0.5906176,0.51513773,0.5036675,0.8816389,0.77493423,0.5403254,0.95877016,0.77493423,-0.7516752,0.060495388,0.9999999,0.9369631,0.7615826,0.085855134,0.89361703,0.26418173,0.3904962,0.37161243,0.18737884,-1.0237563,3.4703681,0.052006725,0.0,0.0036686463,3.2097542,-2.8807182,21.946564,275.2984,11.035563,13.9
26,-66.259605,-1.7125782,-1.0,-0.067521945,-1.1764656,0.67191774,5.813,1.7125782,0.0,5.813,219.3361,0.0,0.62045324,0.5906176,0.5168741,0.5029317,0.8816389,0.89148444,0.54031736,0.9667788,0.89148444,-0.58624,0.067419514,0.99999994,0.9369631,0.76158667,0.085855134,0.89361703,0.26418173,0.43150026,0.37161243,0.15037115,-1.4882774,3.8687224,0.057050657,0.0,0.004559213,3.2097542,-3.0947185,20.246563,222.05438,11.249564,16.6
27,-66.259605,-1.7125782,-1.0,-0.05787037,-1.1764656,0.33854797,6.047,1.7125782,0.0,6.047,298.59842,0.0,0.62045324,0.5906176,0.51446354,0.50417024,0.8816389,0.97223765,0.54031175,0.95486456,0.97223765,-0.32618046,0.057805855,0.99999994,0.9369631,0.76158947,0.085855134,0.89361703,0.26418173,0.47633642,0.37161243,0.20546308,-2.9537911,3.3157277,0.050004292,0.0,0.0033489796,3.2097542,-3.3287182,22.716564,301.3167,11.483563,14.8
28,-66.259605,-1.7125782,-1.0,-0.078125,-1.1764656,0.29969904,6.495,1.7125782,0.0,6.495,163.84001,0.0,0.62045324,0.5906176,0.51952136,0.5033727,0.8816389,0.97765106,0.54030615,0.97514933,0.97765106,0.29103717,0.077966444,1.0,0.9369631,0.76159227,0.085855134,0.89361703,0.26418173,0.56217664,0.37161243,0.11179813,3.3366807,4.476233,0.064440124,0.0,0.006103515,3.2097542,-3.7767181,18.236565,166.55829,11.931563,18.4
29,-66.259605,-1.7125782,-1.0,-0.08347246,-1.1764656,0.5547128,6.674,1.7125782,0.0,6.674,143.52039,0.0,0.62045324,0.5906176,0.520856,0.5043739,0.8816389,0.9245991,0.540305,0.9782201,0.9245991,0.504044,0.08327913,1.0,0.9369631,0.7615928,0.085855134,0.89361703,0.26418173,0.59647435,0.37161243,0.09767481,1.8027347,4.7826195,0.06803516,0.0,0.006967651,3.2097542,-3.955718,17.416563,146.23866,12.110563,21.0
30,-66.259605,-1.7125782,-1.0,-0.044247787,-1.1764656,0.81438416,5.713,1.7125782,0.0,5.713,510.76,0.0,0.62045324,0.5906176,0.5110602,0.50493395,0.8816389,0.84180087,0.54032063,0.9232102,0.84180087,-0.67200166,0.04421893,0.9999999,0.9369631,0.761585,0.085855134,0.89361703,0.26418173,0.4123395,0.37161243,0.3529278,-1.2279217,2.5352116,0.03949715,0.0,0.0019578666,3.2097542,-2.994718,28.036564,513.4783,11.149564,12.7
31,-66.259605,-1.7125782,-1.0,-0.07668712,-1.1764656,0.30293137,6.072,1.7125782,0.0,6.072,170.0416,0.0,0.62045324,0.5906176,0.51916236,0.5059108,0.8816389,0.97778314,0.5403113,0.97421277,0.97778314,-0.2939929,0.07653715,0.99999994,0.9369631,0.76158965,0.085855134,0.89361703,0.26418173,0.4811266,0.37161243,0.1161086,-3.3010778,4.393848,0.063458696,0.0,0.005880914,3.2097542,-3.3537183,18.476562,172.75987,11.508563,14.5
32,-66.259605,-1.7125782,-1.0,-0.036088057,-1.1764656,0.47674003,5.95,1.7125782,0.0,5.95,767.84406,0.0,0.62045324,0.5906176,0.50902104,0.50605595,0.8816389,0.9450053,0.5403137,0.8853125,0.9450053,-0.44362903,0.0360724,0.99999994,0.9369631,0.7615884,0.085855134,0.89361703,0.26418173,0.4577505,0.37161243,0.5316162,-2.0975792,2.0676932,0.032864165,0.0,0.0013023478,3.2097542,-3.231718,33.14656,770.5623,11.386563,13.2
33,-66.259605,-1.7125782,-1.0,-0.054495912,-1.1764656,0.8314795,5.701,1.7125782,0.0,5.701,336.7225,0.0,0.62045324,0.5906176,0.5136206,0.50502515,0.8816389,0.8352632,0.5403211,0.9491511,0.8352632,-0.6812696,0.054442033,0.9999999,0.9369631,0.7615847,0.085855134,0.89361703,0.26418173,0.4100402,0.37161243,0.23196155,-1.2026755,3.1223857,0.047464713,0.0,0.0029698045,3.2097542,-2.9827185,23.786564,339.4408,11.137564,13.1
34,-66.259605,-1.7125782,-1.0,-0.04916421,-1.1764656,0.2687393,6.096,1.7125782,0.0,6.096,413.7156,0.0,0.62045324,0.5906176,0.5122886,0.5070368,0.8816389,0.98253196,0.54031086,0.9376465,0.98253196,-0.26245138,0.049124636,0.99999994,0.9369631,0.7615899,0.085855134,0.89361703,0.26418173,0.48572522,0.37161243,0.28547627,-3.7210782,2.8169017,0.043368366,0.0,0.0024171195,3.2097542,-3.3777184,25.776562,416.4339,11.532563,13.5
35,-35.5216,-1.6470733,-1.0,-0.10330578,-0.34421355,0.50095886,5.933,1.6470733,0.0,5.933,93.70241,0.0,0.61332977,0.5830006,0.5258035,0.50028,0.8954611,0.9393092,0.54031414,0.98576224,0.9393092,-0.46287093,0.102939844,0.99999994,0.92845494,0.7615883,0.045899108,0.7021278,0.19295633,0.45449322,0.28159297,0.06304841,-1.996172,5.9189854,0.080656335,0.0,0.010672084,3.1796122,-3.2147183,15.116564,96.42069,11.369563,18.9
36,-35.5216,-1.6470733,-1.0,-0.087642424,-0.34421355,0.63202745,5.841,1.6470733,0.0,5.841,130.1881,0.0,0.61332977,0.5830006,0.5218966,0.50042516,0.8954611,0.9038187,0.5403165,0.98023665,0.9038187,-0.5594467,0.08741872,0.99999994,0.92845494,0.7615871,0.045899108,0.7021278,0.19295633,0.43686527,0.28159297,0.08840809,-1.5822098,5.0215406,0.07078002,0.0,0.0076811938,3.1796122,-3.1227183,16.846563,132.90637,11.277564,20.0
37,-35.5216,-1.6470733,-0.99999994,-0.11402508,-0.34421355,0.6192058,5.85,1.6470733,0.0,5.85,76.91291,0.0,0.61332977,0.5830006,0.52847546,0.5003497,0.8954611,0.90763324,0.5403162,0.98830837,0.90763324,-0.5505748,0.11353347,0.99999994,0.92845494,0.76158726,0.045899108,0.7021278,0.19295633,0.43858975,0.28159297,0.051378723,-1.614972,6.533156,0.087045215,0.0,0.013001719,3.1796122,-3.1317182,14.206564,79.631195,11.286563,21.0
38,-35.5216,-1.6470733,-1.0,-0.09871668,-0.34421355,0.4539451,5.966,1.6470733,0.0,5.966,102.616905,0.0,0.61332977,0.5830006,0.52465916,0.50076383,0.8954611,0.9501171,0.54031336,0.98441124,0.9501171,-0.42513645,0.09839726,0.99999994,0.92845494,0.7615887,0.045899108,0.7021278,0.19295633,0.4608162,0.28159297,0.069244504,-2.2029095,5.6560493,0.07783142,0.0,0.009744983,3.1796122,-3.2477183,15.566564,105.33519,11.402564,24.7
39,-8.7025,-1.5341861,-0.9996463,-0.23148148,0.071913354,0.44216475,6.595,1.5341861,1.0,6.595,18.662401,75.0,0.5995639,0.5791769,0.5576134,0.5001205,0.91963404,0.9517785,0.5403055,0.9971589,0.9517785,0.4154372,0.22743368,1.0,0.91113824,0.7615926,0.011037235,0.60638285,0.070210814,0.5813374,0.109326124,0.010891218,2.2616005,13.262911,0.14208013,75.0,0.053583674,3.1219304,-3.876718,9.756563,21.380684,12.031564,30.8
40,-8.7025,-1.5341861,-0.962587,-0.5050505,0.071913354,1.0533438,7.024,1.5341861,1.0,7.024,3.9204001,75.0,0.5995639,0.5791769,0.6236455,0.50014657,0.91963404,0.73791885,0.54030365,0.99940294,0.73791885,0.7831029,0.4660798,1.0,0.91113824,0.7615935,0.011037235,0.60638285,0.070210814,0.6635371,0.109326124,0.0006446666,0.9493577,28.937263,0.21284378,75.0,0.255076,3.1219304,-4.3057184,7.4165635,6.638682,12.460564,34.9
41,-47.748096,-1.5651786,-0.99987495,-0.20661156,0.25685814,0.6914803,6.77,1.5651786,0.0,6.77,23.425602,0.0,0.60354394,0.57747436,0.5514699,0.50055605,0.9129855,0.88382745,0.54030454,0.9964342,0.88382745,0.59893215,0.20372094,1.0,0.9162555,0.7615931,0.06179221,0.56382966,0.10390985,0.6148687,0.15891719,0.014201921,1.4461728,11.837971,0.1323052,0.0,0.042688336,3.1385355,-4.051718,10.276564,26.143883,12.206563,26.6
42,-47.748096,-1.5651786,-0.99998206,-0.17211704,0.25685814,0.16473933,6.169,1.5651786,0.0,6.169,33.7561,0.0,0.60354394,0.57747436,0.5429234,0.5006174,0.9129855,0.99348795,0.54030967,0.99486303,0.99348795,-0.16326505,0.17043732,0.99999994,0.9162555,0.76159054,0.06179221,0.56382966,0.10390985,0.49971253,0.15891719,0.02138222,-6.070196,9.86158,0.11725691,0.0,0.029624276,3.1385355,-3.4507184,11.246564,36.47438,11.605563,25.3
43,-47.748096,-1.5651786,-0.9999993,-0.13440861,0.25685814,0.10490392,6.211,1.5651786,0.0,6.211,55.3536,0.0,0.60354394,0.57747436,0.53355163,0.50069535,0.9129855,0.99739575,0.5403091,0.991581,0.99739575,-0.10452079,0.13360502,0.99999994,0.9162555,0.7615908,0.06179221,0.56382966,0.10390985,0.5077601,0.15891719,0.036393743,-9.532532,7.701045,0.09844185,0.0,0.018065672,3.1385355,-3.4927182,12.876563,58.07188,11.647563,24.7
44,-47.748096,-1.5651786,-1.0,-0.10471204,0.25685814,0.3072057,6.069,1.5651786,0.0,6.069,91.20251,0.0,0.60354394,0.57747436,0.52615416,0.50053537,0.9129855,0.97714984,0.54031134,0.9861412,0.97714984,-0.29789287,0.104330994,0.99999994,0.9162555,0.76158965,0.06179221,0.56382966,0.10390985,0.48055178,0.15891719,0.061310828,-3.255148,5.999558,0.081511006,0.0,0.010964611,3.1385355,-3.350718,14.986564,93.92079,11.505563,21.2
45,-47.748096,-1.5651786,-1.0,-0.097943194,0.25685814,0.8585481,5.682,1.5651786,0.0,5.682,104.2441,0.0,0.60354394,0.57747436,0.5244663,0.500748,0.9129855,0.82466584,0.5403218,0.9841647,0.82466584,-0.69550884,0.0976312,0.9999999,0.9162555,0.76158446,0.06179221,0.56382966,0.10390985,0.40639967,0.15891719,0.070375495,-1.1647571,5.6117315,0.0773498,0.0,0.009592868,3.1385355,-2.9637184,15.646564,106.96239,11.118564,19.3
46,-47.748096,-1.5651786,-1.0,-0.07067138,0.25685814,0.71038413,5.786,1.5651786,0.0,5.786,200.22249,0.0,0.60354394,0.57747436,0.5176605,0.5008219,0.9129855,0.8789284,0.54031813,0.96965903,0.8789284,-0.6109176,0.07055396,0.99999994,0.9162555,0.7615862,0.06179221,0.56382966,0.10390985,0.4263268,0.15891719,0.13708608,-1.4076891,4.049172,0.059282858,0.0,0.004994444,3.1385355,-3.067718,19.586563,202.94077,11.222564,20.0
47,-47.748096,-1.5651786,-1.0,-0.05319149,0.25685814,0.36276677,6.03,1.5651786,0.0,6.03,353.43997,0.0,0.60354394,0.57747436,0.51329476,0.5010004,0.9129855,0.9681195,0.54031205,0.94664925,0.9681195,-0.34764874,0.053141378,0.99999994,0.9162555,0.7615893,0.06179221,0.56382966,0.10390985,0.47307914,0.15891719,0.24358116,-2.756592,3.0476482,0.046472117,0.0,0.0028293347,3.1385355,-3.3117185,24.23656,356.15826,11.466563,16.6
48,-47.748096,-1.5651786,-1.0,-0.032456994,0.25685814,1.2617265,5.399,1.5651786,0.0,5.399,949.25604,0.0,0.60354394,0.57747436,0.50811356,0.5011077,0.9129855,0.6339199,0.5403367,0.8588705,0.6339199,-0.8515394,0.032445602,0.9999998,0.9162555,0.76157695,0.06179221,0.56382966,0.10390985,0.3521747,0.15891719,0.6577081,-0.7925648,1.8596488,0.029825566,0.0,0.0010534566,3.1385355,-2.6807184,36.246563,951.9743,10.835564,14.4
49,-47.748096,-1.5651786,-1.0,-0.06172839,0.25685814,0.9725207,5.602,1.5651786,0.0,5.602,262.44003,0.0,0.60354394,0.57747436,0.51542723,0.5009589,0.9129855,0.77682704,0.5403252,0.96029365,0.77682704,-0.7498099,0.06165011,0.9999999,0.9162555,0.76158273,0.06179221,0.56382966,0.10390985,0.39107114,0.15891719,0.1803309,-1.0282557,3.5367763,0.052858923,0.0,0.0038103943,3.1385355,-2.8837185,21.636562,265.15833,11.038564,19.4
50,-31.809599,-1.5511552,-1.0,-0.07434944,0.76545703,0.45821947,5.963,1.5511552,1.0,5.963,180.9025,21.0,0.6017627,0.5727831,0.5185788,0.5003872,0.915995,0.949177,0.5403134,0.9725733,0.949177,-0.4286319,0.074212745,0.99999994,0.9139759,0.7615885,0.04107392,0.44680834,0.08866179,0.46024138,0.13670242,0.12365756,-2.1823604,4.259909,0.061849494,21.0,0.0055278395,3.1310968,-3.244718,18.886562,183.62077,11.399564,19.7
51,-31.809599,-1.5511552,-1.0,-0.10604454,0.76545703,0.24167141,6.115,1.5511552,1.0,6.115,88.924904,21.0,0.6017627,0.5727831,0.52648634,0.5001892,0.915995,0.9858901,0.5403105,0.9864865,0.9858901,-0.23707387,0.105648816,0.99999994,0.9139759,0.76159,0.04107392,0.44680834,0.08866179,0.48936576,0.13670242,0.059727762,-4.13785,6.0759044,0.08231617,21.0,0.0112454435,3.1310968,-3.396718,14.866564,91.64319,11.551563,20.5
