,(oz1_negative+oz4),((oz2_mmnorm+oz2)*oz1_mmnorm_adde),(oz2_sin_exp+oz1),(oz1_negative+oz4)_negative,oz4_negative_zscore_radian
55,-1.085869,3.2661293,2.1140094,1.085869,0.0070409584
56,0.6600219,4.383475,2.1909473,-0.6600219,-0.017896114
57,-0.37377185,-4.8717604,-0.37192658,0.37377185,0.01946584
58,2.294926,-3.4695737,-1.2502646,-2.294926,-0.011646055
59,-1.6973941,5.4361005,2.6454642,1.6973941,0.021284495
60,0.4981873,-2.372786,-1.391763,-0.4981873,0.022965236
61,1.7674637,-0.5717605,0.5052551,-1.7674637,-0.029106492
62,2.5001044,-3.5384445,-1.0349381,-2.5001044,-0.018995091
63,0.20088375,-3.1459222,-1.4346379,-0.20088375,0.028293218
64,0.42434248,4.8914104,1.9171675,-0.42434248,-0.004864095
65,1.7839067,0.16799697,-0.3294736,-1.7839067,-0.012895826
66,0.5176733,2.219635,0.87977797,-0.5176733,-0.0038476563
67,0.44228444,-1.8693832,-0.3589172,-0.44228444,0.006705477
68,-0.09723632,-0.5003786,0.6273965,0.09723632,0.0015083303
69,0.58944446,7.495952,3.600347,-0.58944446,-0.027358351
70,-0.45311338,-0.6445366,0.34918815,0.45311338,0.012239401
71,1.3180194,0.3206965,-0.07085264,-1.3180194,-0.008809958
72,1.4184716,-3.896825,-0.9628289,-1.4184716,-0.0014676565
73,-0.7387287,4.9597387,2.7608137,0.7387287,-0.00084502675
74,-0.2896086,-2.832761,-1.0571182,0.2896086,0.030538922
75,2.036694,-4.596109,-0.4432655,-2.036694,-0.021411175
76,-0.01654625,-2.2447042,-0.9835053,0.01654625,0.025045622
77,-2.4649434,8.646247,4.593361,2.4649434,0.009943774
78,0.6824677,-1.2860585,0.36239323,-0.6824677,-0.009070541
79,0.56620884,6.7094727,3.654214,-0.56620884,-0.031087352
80,1.3285033,-1.6686168,0.35553873,-1.3285033,-0.020842144
81,0.41487032,-1.6207352,-0.7723211,-0.41487032,0.014680276
82,0.4235261,2.4257789,1.5346909,-0.4235261,-0.013157091
83,0.31240553,4.6362495,2.6888752,-0.31240553,-0.019902656
84,1.6066103,-4.3521376,-0.9069935,-1.6066103,-0.0057934765
85,2.196504,0.33788776,0.11518854,-2.196504,-0.027368559
86,-0.43163255,6.296796,3.2654052,0.43163255,-0.008078396
87,0.9807218,2.1790638,1.298079,-0.9807218,-0.019801548
88,-0.9040235,2.6891522,1.1958324,0.9040235,0.017725695
89,-0.504127,2.4178998,0.8951936,0.504127,0.014790756
90,0.42049575,-2.5494676,-0.39579844,-0.42049575,0.006945931
91,-0.28807223,-2.022285,-0.61909354,0.28807223,0.023759985
92,1.7859043,-4.5259233,-0.5885978,-1.7859043,-0.014490371
93,1.3672913,2.8593333,1.0934368,-1.3672913,-0.01904461
94,-1.222857,4.821523,3.3008409,1.222857,-0.0038486656
95,1.503394,-2.1418424,-1.2813329,-1.503394,0.003749248
96,1.8800411,-3.566648,-0.3397557,-1.8800411,-0.020233411
97,0.9484157,-3.9735873,-1.126519,-0.9484157,0.009576133
98,-0.5510683,-4.0807304,-0.31130484,0.5510683,0.021564905
99,0.70076793,2.1978102,1.2537682,-0.70076793,-0.014007851
100,1.7804672,-3.5701275,-1.4383144,-1.7804672,0.00056757266
101,0.92316306,-1.2066793,-1.1169114,-0.92316306,0.012450166
102,0.97558063,-2.2083232,-0.114014775,-0.97558063,-0.0072631785
103,2.2569652,-4.754096,-0.83254087,-2.2569652,-0.0184414
104,1.6664029,0.8871874,0.0837242,-1.6664029,-0.01563351
105,0.25148115,-1.5464532,-0.24726495,-0.25148115,0.008578162
106,1.3501648,1.7893841,1.3612708,-1.3501648,-0.029225878
107,-1.8136647,7.934478,3.7153203,1.8136647,0.013542642
108,-0.37738764,6.2661395,3.3638413,0.37738764,-0.011142372
109,0.10097265,-2.1463466,-0.07315114,-0.10097265,0.0073829093
110,-1.5993227,6.632112,3.9270256,1.5993227,0.0009983997
111,-0.6222894,1.8839687,1.4415004,0.6222894,0.004206791
112,-0.847195,6.0407033,3.443456,0.847195,-0.0057756146
113,-0.1302025,6.3820243,3.0439737,0.1302025,-0.008511643
114,-0.9560151,0.26318762,0.7826844,0.9560151,0.015773475
115,2.4258404,-1.7411673,-0.45006827,-2.4258404,-0.02619637
116,-2.93438,7.6560445,4.2642875,2.93438,0.022051042
117,0.22744235,0.51097775,1.1405216,-0.22744235,-0.010441881
118,0.33776462,7.782344,3.2778308,-0.33776462,-0.016238777
119,-1.3089708,3.8694313,2.481587,1.3089708,0.007568312
120,-0.09938431,6.0507603,3.0714898,0.09938431,-0.011395637
121,-0.6668105,8.921478,4.3937216,0.6668105,-0.017656332
122,0.28704894,0.59573597,1.1470525,-0.28704894,-0.011334203
123,-0.5386761,5.2616777,2.3722103,0.5386761,0.0053658406
124,-1.2305902,8.648374,3.9037352,1.2305902,0.00075940357
125,-1.2407365,4.145821,2.1562614,1.2407365,0.014405738
126,-1.5598515,8.998348,3.558351,1.5598515,0.012386096
127,0.731613,-1.9993914,-0.83035517,-0.731613,0.009621725
128,0.5291872,-0.47829962,0.82292306,-0.5291872,-0.012786034
129,0.7567299,-3.4734375,-1.3762221,-0.7567299,0.017411273
130,-0.5986306,9.291299,3.6881733,0.5986306,-0.0069165104
131,0.42344967,-0.31388164,1.0602062,-0.42344967,-0.014689777
132,-0.22065198,-0.4539108,0.6242512,0.22065198,0.0038252762
133,-2.3140461,7.103599,3.1536484,2.3140461,0.03064156
134,0.81273186,5.011439,2.3779936,-0.81273186,-0.020024586
135,-0.86399484,6.1200333,3.3993163,0.86399484,-0.00415485
136,0.38947028,-0.69158864,0.44267106,-0.38947028,-0.0042058155
137,-1.2662483,-2.0846534,0.14183393,1.2662483,0.027628714
138,-1.3834891,2.0119076,0.89595866,1.3834891,0.028009573
139,0.31847596,6.5378213,3.183282,-0.31847596,-0.01832109
140,-0.82336336,1.9448755,1.4381214,0.82336336,0.008056858
141,-1.9837538,4.455919,2.2472286,1.9837538,0.027675712
142,1.2119524,0.73640984,0.11856675,-1.2119524,-0.008873963
143,0.45399398,0.26733845,0.534526,-0.45399398,-0.0044982745
144,1.3937509,-3.837429,-1.3646338,-1.3937509,0.005967688
145,0.28895703,-2.8818498,0.11312392,-0.28895703,0.00015515329
146,-1.5556746,1.8611795,1.4096671,1.5556746,0.020986896
147,-0.41701216,-2.529851,-0.26045483,0.41701216,0.01925784
148,-3.1564674,6.2056565,3.891172,3.1564674,0.02664179
149,-3.1933002,7.738301,4.3274345,3.1933002,0.02563132
150,1.9569676,-2.5662367,-0.94353175,-1.9569676,-0.010449164
151,0.6759761,-4.932273,-0.85708475,-0.6759761,0.009640198
152,-0.11385399,8.9097805,3.3293948,0.11385399,-0.008931407
153,2.7345567,-3.226668,-0.9263902,-2.7345567,-0.024820382
154,2.3585258,-3.8385787,-0.69845283,-2.3585258,-0.022471031
155,-0.896732,6.8420715,3.95291,0.896732,-0.010762846
156,-1.4456152,7.856903,3.2002668,1.4456152,0.016461778
157,-1.6604481,7.769335,4.1032424,1.6604481,0.0032012635
158,-0.97201055,3.5209553,1.8352075,0.97201055,0.0118626235
159,0.5790678,3.8339636,2.3161101,-0.5790678,-0.022470323
160,-2.9346886,8.013251,4.0989156,2.9346886,0.026158884
161,2.6217492,-1.8904923,-0.5951842,-2.6217492,-0.027319308
162,1.7471867,0.09576372,-0.0021975636,-1.7471867,-0.01820001
163,-0.2130501,6.4888844,2.7859826,0.2130501,-0.0014412045
164,0.1786356,6.473277,3.1530118,-0.1786356,-0.015600074
165,0.40408114,-0.7468074,0.6926676,-0.40408114,-0.008916609
166,-0.55258495,6.907084,3.8145552,0.55258495,-0.0137662385
167,0.85828453,1.2913306,0.3688923,-0.85828453,-0.004961147
168,-0.9557481,-3.1966858,0.13489032,0.9557481,0.021294478
169,2.0983114,-2.3629234,-0.69475156,-2.0983114,-0.017016161
170,-0.07914866,0.10638282,0.7975291,0.07914866,-0.0002515253
171,-1.9574344,8.430236,3.9695232,1.9574344,0.012132605
172,-0.41791576,8.12287,3.859439,0.41791576,-0.013164395
173,-0.99610496,1.3643022,1.2919745,0.99610496,0.011234278
174,1.3306044,-3.7280817,-0.77272344,-1.3306044,-0.003186263
175,-1.3381596,6.445958,3.3152506,1.3381596,0.007556117
176,0.1702981,1.9069914,1.0074207,-0.1702981,-0.0016722779
177,1.7808211,-3.3826873,-0.3657969,-1.7808211,-0.017956197
178,-1.9149207,8.14348,4.2357516,1.9149207,0.0060730986
179,0.32697678,4.5973506,1.9951724,-0.32697678,-0.006760374
180,-0.84314334,5.2490687,2.304526,0.84314334,0.01195552
181,2.5624425,-3.8440237,-1.0787932,-2.5624425,-0.019423755
182,1.1508367,-1.7630024,0.24954823,-1.1508367,-0.01604074
183,-1.3875569,4.973358,2.3161204,1.3875569,0.019391308
184,0.1075272,-1.6472111,-0.16897467,-0.1075272,0.009586981
185,0.15039198,2.8591805,1.2094587,-0.15039198,3.880367e-05
186,0.28659514,-1.2709897,0.4132818,-0.28659514,-0.0030093954
187,-2.4914742,7.17679,4.335964,2.4914742,0.011116679
188,-0.94535804,3.120272,1.0959128,0.94535804,0.022929668
189,-0.89550614,9.350335,4.7790575,0.89550614,-0.020358631
190,0.62397087,8.541138,3.633668,-0.62397087,-0.02690663
191,0.36926293,4.6464043,2.9428113,-0.36926293,-0.0257892
192,0.5669867,5.3753824,2.8990269,-0.5669867,-0.023711056
193,-0.9197503,5.3665333,2.1053917,0.9197503,0.018061787
194,-1.0537186,2.4448545,2.1152816,1.0537186,0.0021067392
195,-1.858389,3.4952307,1.9766022,1.858389,0.024497611
196,2.0755696,-4.0553985,-0.51422894,-2.0755696,-0.02078862
197,-0.0086583495,-1.9840131,-0.45248753,0.0086583495,0.016049646
198,-0.17000186,9.127789,4.313043,0.17000186,-0.024898272
199,2.334443,-3.5983021,-0.78292286,-2.334443,-0.02049823
200,1.9192938,-0.4702733,0.10315508,-1.9192938,-0.024537792
201,-1.2601448,3.1889422,1.3441824,1.2601448,0.024153104
202,-0.5843856,4.482421,1.8748924,0.5843856,0.010744676
203,-0.16496408,-3.2367861,-1.1373936,0.16496408,0.029485732
204,0.60253227,-0.8688749,0.12363875,-0.60253227,-0.0027624618
205,-0.33473766,9.419273,4.0911865,0.33473766,-0.018412601
206,0.45040062,-0.2725525,1.0752323,-0.45040062,-0.015324514
207,-1.0568869,3.4792309,2.5327382,1.0568869,-0.000119830176
208,0.47181594,8.121206,3.4444056,-0.47181594,-0.021144317
209,-2.2060173,3.3049786,2.5203018,2.2060173,0.019208727
210,0.19640462,2.1102543,0.8164178,-0.19640462,0.0023567542
211,-2.0535927,4.617849,2.964736,2.0535927,0.015932309
212,0.11227733,6.8080893,3.192892,-0.11227733,-0.0136641925
213,-0.5365868,-1.0327497,-0.37247384,0.5365868,0.025407778
214,0.32822537,-4.5871286,-1.3179837,-0.32822537,0.02373898
215,1.688223,2.0319538,0.7550342,-1.688223,-0.022984939
216,0.98873734,-1.7842498,0.0739249,-0.98873734,-0.010203081
217,3.4078388,-3.5143435,-1.4396777,-3.4078388,-0.027820183
218,-0.82561773,-1.357715,-0.100284755,0.82561773,0.025160216
219,1.8006198,-4.215463,-1.1310406,-1.8006198,-0.0052653034
220,1.5536704,0.93717957,0.30068064,-1.5536704,-0.017321961
221,0.81972456,2.6058342,0.890862,-0.81972456,-0.00719085
222,-0.6989186,-0.42760307,0.069783926,0.6989186,0.021886455
223,-1.3006839,3.2636678,2.6083562,1.3006839,0.0015184078
224,-0.13464439,2.6598797,2.106859,0.13464439,-0.0127330255
225,0.017163783,2.1321447,1.3898044,-0.017163783,-0.004869809
226,-0.55448914,9.197491,4.194129,0.55448914,-0.016149579
227,0.4235896,0.6979749,1.1394091,-0.4235896,-0.013256985
228,-0.3974141,9.581384,4.2497377,0.3974141,-0.020156926
229,0.95696247,-1.9430897,-1.2057211,-0.95696247,0.01223613
230,-0.79670405,-0.52198523,-0.09694028,0.79670405,0.02626869
231,-1.5656657,3.4258347,1.4056228,1.5656657,0.029832384
232,-0.5569989,6.169261,3.6096163,0.5569989,-0.01340862
233,0.531408,4.8304825,2.7708123,-0.531408,-0.024073454
234,-0.6683756,9.166274,4.7015047,0.6683756,-0.022985796
235,-1.0417442,8.070659,4.4714327,1.0417442,-0.013750689
236,0.020520866,5.586511,3.0652668,-0.020520866,-0.016140526
237,-1.8877628,7.4935646,3.8155935,1.8877628,0.011812781
238,0.57009107,-4.269561,-0.33960924,-0.57009107,0.0024317366
239,-3.128535,5.829889,3.5807009,3.128535,0.030131113
240,2.8543632,-2.5222826,-0.9154829,-2.8543632,-0.026570925
241,0.34967834,-3.6314518,-0.5992124,-0.34967834,0.010975788
242,-0.7613239,2.8438601,1.4059832,0.7613239,0.012201314
243,-0.164042,-2.8908074,-0.98595715,0.164042,0.027070925
244,1.5426228,-0.37608814,0.62313277,-1.5426228,-0.026779346
245,1.1991328,-3.006904,0.047018886,-1.1991328,-0.014699327
246,1.0695363,5.4386187,2.5452418,-1.0695363,-0.02503862
247,2.1061273,0.81212467,0.2901094,-2.1061273,-0.027254146
248,-0.57408464,4.0089436,2.434656,0.57408464,-0.0035044525
249,-1.0459754,1.8761507,0.6074852,1.0459754,0.026691383
250,1.3176799,0.6139818,-0.05059725,-1.3176799,-0.0081727225
251,0.9629702,-2.7466912,-0.5569024,-0.9629702,7.64095e-05
252,-1.0904241,-0.61104304,0.42793417,1.0904241,0.022079473
253,2.0459259,-2.815041,-1.4096975,-2.0459259,-0.0041548973
254,0.064629674,-0.54004604,-0.07421148,-0.064629674,0.010783419
255,-0.1949248,0.8941249,0.90717757,0.1949248,0.0023191248
256,-0.61197805,-1.1387905,0.6311358,0.61197805,0.009148311
257,0.40896302,4.5246124,2.0030417,-0.40896302,-0.00885129
258,2.0681262,-3.7618053,-1.3432508,-2.0681262,-0.0061678994
259,-3.0388184,9.718641,4.568709,3.0388184,0.020489346
260,2.01088,-4.4516096,-1.3747047,-2.01088,-0.004680143
261,-1.3288423,5.9275875,3.5189745,1.3288423,0.00048627402
262,-1.9206403,7.513106,4.055355,1.9206403,0.007864682
263,-0.866995,6.5595584,3.6100998,0.866995,-0.0059176506
264,1.9285209,0.7081788,0.03212315,-1.9285209,-0.019967504
265,0.8715518,-3.1187918,-0.7953175,-0.8715518,0.005523289
266,-1.4760919,5.510178,3.453978,1.4760919,0.0018383857
267,0.57363546,-2.0215912,-0.1136457,-0.57363546,-2.3728777e-05
268,-1.0687761,-3.4053454,-0.12610951,1.0687761,0.02766304
269,1.3261969,-3.1348073,-1.377002,-1.3261969,0.007641374
270,-0.34154123,8.676744,3.96482,0.34154123,-0.015843038
271,-1.2464998,-0.30921125,0.8968755,1.2464998,0.017341407
272,-2.727366,7.2411437,3.9684937,2.727366,0.022639683
273,1.4330864,-2.6430333,-0.869609,-1.4330864,-0.002642954
274,0.8645974,-1.545218,-0.4383153,-0.8645974,0.0011699739
275,1.3521125,2.3183353,0.7617559,-1.3521125,-0.015724134
276,-0.51368773,2.8205686,2.1746738,0.51368773,-0.0065353164
277,0.17691016,9.362285,4.0544972,-0.17691016,-0.026675362
278,-2.8622575,4.745,2.9512477,2.8622575,0.031130206
279,-2.195549,8.430103,4.135157,2.195549,0.013294263
280,-1.9667654,3.9317336,2.6312158,1.9667654,0.016580598
281,-2.6487246,6.775335,3.6756,2.6487246,0.02497225
282,-1.2389896,0.40442905,1.1630733,1.2389896,0.014459964
283,3.334402,-4.190577,-1.2630172,-3.334402,-0.029757395
284,2.8436046,-4.003096,-1.006525,-2.8436046,-0.025628753
285,-1.0982327,-4.061108,0.09143552,1.0982327,0.024127334
286,-2.2782512,7.8904443,4.010475,2.2782512,0.0160602
287,0.012254119,6.0364513,3.6728215,-0.012254119,-0.025358615
288,-1.754308,8.271531,3.8270228,1.754308,0.01098729
289,-0.027234614,-2.3777046,-0.48922908,0.027234614,0.01655336
290,0.18066806,-4.91272,-0.80058295,-0.18066806,0.017297965
291,-1.7745202,8.840846,3.7637658,1.7745202,0.012720008
292,0.48789123,4.26509,2.1712127,-0.48789123,-0.0152950855
293,0.68276,-2.3154843,0.043228626,-0.68276,-0.0049836123
294,1.7963712,-0.46941614,-0.28538215,-1.7963712,-0.015634231
295,-0.34617877,6.2630687,3.2852185,0.34617877,-0.01014608
296,-1.2654562,4.228637,1.8334694,1.2654562,0.021698672
297,2.1071968,-3.186224,-1.3121116,-2.1071968,-0.0071562906
298,1.2340959,1.4825268,1.4675527,-1.2340959,-0.030398231
299,0.29293787,3.69079,2.5397077,-0.29293787,-0.022602344
300,1.29342,2.6751473,1.0839081,-1.29342,-0.018661378
301,0.48665097,2.5188448,1.1311541,-0.48665097,-0.0063255304
302,-0.15759009,-2.825056,-0.27515996,0.15759009,0.014717515
303,0.15998864,5.3012185,2.959412,-0.15998864,-0.018270575
304,0.5189198,-4.0761037,-1.3449116,-0.5189198,0.020869277
305,1.8454274,3.9496515,1.4218609,-1.8454274,-0.026525775
306,-0.6550218,-0.111629784,0.65974957,0.6550218,0.011632576
307,-0.33318102,9.854613,4.488223,0.33318102,-0.025600161
308,0.10463226,-4.223052,-1.2018453,-0.10463226,0.025599796
309,-2.150941,8.899406,3.8250523,2.150941,0.018219149
310,-0.3539722,-2.0080552,-0.40338635,0.3539722,0.02120406
311,-1.9740884,4.832596,2.8980427,1.9740884,0.01721535
312,-0.6836663,4.1487546,1.6737617,0.6836663,0.014115023
313,1.1392651,-3.2075517,-0.5456959,-1.1392651,-0.0035307764
314,-0.47168103,-0.0062818266,0.2811173,0.47168103,0.015322105
315,-1.1423337,3.8254368,1.8692336,1.1423337,0.01613753
316,-2.9157605,7.66996,3.783711,2.9157605,0.030900132
317,0.70457506,6.215961,3.00267,-0.70457506,-0.023153901
318,-2.9906151,8.781595,4.29099,2.9906151,0.02469809
319,1.5763667,-3.6389334,-1.202796,-1.5763667,1.9683343e-05
320,-1.2541846,7.645372,3.5088022,1.2541846,0.006985263
321,-0.14834243,0.36076927,0.0118278265,0.14834243,0.015485561
322,-0.39587757,-1.2558813,0.8886733,0.39587757,0.000709005
323,-1.8603972,3.0231993,1.7483394,1.8603972,0.026033109
324,-1.1247071,6.8237023,3.6164093,1.1247071,-0.00026949664
325,1.7466036,3.0428462,1.1117309,-1.7466036,-0.02488969
326,0.6677375,1.3872509,0.69859755,-0.6677375,-0.0071286894
327,2.0177157,-3.105957,-1.1941671,-2.0177157,-0.0075885397
328,0.5841623,-2.4496531,-1.1360867,-0.5841623,0.016971575
329,-1.6883292,8.903772,3.591193,1.6883292,0.014148888
330,3.3774555,-3.6962554,-1.3880352,-3.3774555,-0.028246393
331,2.0988607,-4.463521,-1.4314377,-2.0988607,-0.005222956
332,3.3945827,-3.8667083,-1.675338,-3.3945827,-0.023585217
333,2.083594,-4.38296,-1.6726485,-2.083594,-0.0007408951
334,0.6193408,-0.6463013,0.18392953,-0.6193408,-0.003631587
335,-1.842119,4.4081798,1.9706146,1.842119,0.030314066
336,0.14562654,5.497447,3.3876343,-0.14562654,-0.025262581
337,-0.36464202,4.4327188,2.9088712,0.36464202,-0.013655023
338,-0.556553,-0.9780508,0.7277858,0.556553,0.006800551
339,-1.4585186,4.1780477,1.8483847,1.4585186,0.024431743
340,1.0168171,-4.6901684,-1.4632409,-1.0168171,0.014275676
341,2.48713,-1.7366667,-0.23645753,-2.48713,-0.030950852
342,0.9770026,-2.3125174,-0.961149,-0.9770026,0.007227768
343,1.4530852,-3.4297867,-0.5540776,-1.4530852,-0.008992165
344,-0.59431386,-0.9209579,-0.5811726,0.59431386,0.030253379
345,2.4471006,-2.6450517,-0.5438999,-2.4471006,-0.025989167
346,-1.1787567,1.4072734,0.6243305,1.1787567,0.026547005
347,1.6730443,-1.9456406,-1.0739346,-1.6730443,-0.0025521799
348,-1.2190988,1.5030924,1.3212723,1.2190988,0.015163097
349,-1.3064317,-0.48067155,0.48854893,1.3064317,0.025093105
350,-1.6027858,4.0601487,2.0091436,1.6027858,0.023022128
351,-1.8832581,6.5676475,3.0706804,1.8832581,0.022506943
352,3.3871028,-3.394466,-1.2463181,-3.3871028,-0.030762866
353,-0.66844624,2.194929,1.2936195,0.66844624,0.009170819
354,1.5860696,-4.3753576,-0.700583,-1.5860696,-0.009037987
355,-2.215002,9.738563,4.4934998,2.215002,0.0073363706
356,0.36093572,8.283562,3.0541956,-0.36093572,-0.012174735
357,1.6861683,-3.905093,-1.5689138,-1.6861683,0.0044023856
358,0.14625043,0.035151437,1.1362492,-0.14625043,-0.010304038
359,-0.52982026,-3.541033,-0.31433496,0.52982026,0.021439921
360,-0.8915733,0.85616237,0.84993297,0.8915733,0.015369148
361,-1.1730261,1.7514086,0.98343515,1.1730261,0.02150662
362,-2.4395254,9.18552,4.001591,2.4395254,0.020083707
363,1.0410234,-3.9431188,-0.8642003,-1.0410234,0.003399979
364,-0.4125377,0.078218766,0.46515298,0.4125377,0.011307754
365,-0.6563256,0.41330388,0.24514377,0.6563256,0.020430725
366,-0.31295824,9.275746,4.265753,0.31295824,-0.021638243
367,1.277951,4.889756,2.241532,-1.277951,-0.026258942
368,1.197434,1.4815668,0.76427263,-1.197434,-0.017157987
369,1.0544513,6.34128,3.0849833,-1.0544513,-0.030231308
370,1.4177185,-2.7207353,-0.8017458,-1.4177185,-0.0036142007
371,-1.4387,1.7066364,1.1727266,1.4387,0.022532389
372,0.59842235,-0.5670537,-0.34809124,-0.59842235,0.0061516217
373,-2.3337424,3.1958447,2.3421235,2.3337424,0.024168784
374,0.20566815,0.69270676,0.52649486,-0.20566815,0.0013460902
375,-2.2267337,7.7399,3.8722029,2.2267337,0.01737952
376,0.4066856,-3.104437,-0.99155605,-0.4066856,0.017050877
377,-0.6208227,5.8367724,3.005133,0.6208227,-0.0022149137
378,-0.2951333,8.590255,3.9162536,0.2951333,-0.015832122
379,-0.7125914,3.6763017,1.3039472,0.7125914,0.01856172
380,-1.5757337,8.71456,3.505551,1.5757337,0.013748505
381,-2.274524,4.7048407,2.469614,2.274524,0.030048033
382,1.5488555,0.1038999,0.46576917,-1.5488555,-0.022897607
383,0.4921902,-4.70857,-0.4062525,-0.4921902,0.004926947
384,-1.1732184,-0.32380128,0.5272971,1.1732184,0.022462182
385,2.2315655,-3.0231605,-0.43086222,-2.2315655,-0.024480265
386,0.55120647,-1.1960938,-0.4025756,-0.55120647,0.0066169137
387,2.1478024,-2.3590267,-1.1617522,-2.1478024,-0.009812048
388,-0.08792311,1.6086059,1.5881677,0.08792311,-0.008951805
389,2.481801,-0.7341713,-0.6009564,-2.481801,-0.022746371
390,-0.5847498,-0.66234803,-0.5038537,0.5847498,0.029306084
391,0.9134295,1.5558093,1.5722961,-0.9134295,-0.026376557
392,-0.040789604,-3.4337077,-0.8411303,0.040789604,0.022081176
393,0.6855813,-3.1276054,-0.35214052,-0.6855813,0.0010954785
394,1.8230203,-0.1362462,0.1946801,-1.8230203,-0.023611609
395,-0.5463157,7.91452,3.7048037,0.5463157,-0.008443123
396,-0.6992955,-1.6191837,0.6152397,0.6992955,0.01016672
397,-0.48339352,4.760906,2.4548116,0.48339352,-0.0005792369
398,-1.7880542,2.9361742,1.857784,1.7880542,0.022233399
399,-1.9823893,8.512155,4.461245,1.9823893,0.003739413
400,0.61243385,7.8297276,3.4814522,-0.61243385,-0.024713267
401,-2.709876,9.479042,4.2703986,2.709876,0.020005634
402,0.7884353,2.0227392,1.2439402,-0.7884353,-0.016215691
403,1.214179,-2.8519583,-0.6812474,-1.214179,-0.0022476718
404,0.69009393,-1.8132154,-0.33700746,-0.69009393,0.0020742123
405,0.35787115,4.334461,2.1266246,-0.35787115,-0.011687185
406,-0.10772045,1.5881994,0.9919235,0.10772045,0.002015673
407,0.55299246,-4.054845,-1.1898954,-0.55299246,0.017574893
408,-0.61566156,4.0194755,1.894329,0.61566156,0.00773581
