,(a23/a27),(a19/a27),(a05/a27),(a08/a27),(a24/a27),a01_sigmoid,(a08+a09),(a01+a08),(a14+a29),(a32+a34),(a04+a14),(a08+a18),(a16+a31),(a11+a29),(a06+a27),(a03+a30),(a19+a34),(a13+a22),(a13+a14),(a13+a18),(a04+a10),(a06+a09),(a06+a14),(a08+a21),(a33+a34),(a01+a05),(a15+a25),(a04+a11),(a16+a32),(a20-a21),(a16-a30),(a11-a25),(a18-a29),(a01-a33),(a23-a33),(a08-a14),(a16-a19),(a23-a34),(a04-a27),(a16-a21),(a07-a21),(a05-a17),(a13-a25),(a07-a31),(a21-a30),(a03-a26),(a01-a23),(a05-a24),(a11-a22),(a11-a21),(a10-a22),(a06-a12),(a12*a27),(a23*a25),(a17*a28),(a06*a27),(a20*a26),(a15*a27),(a03*a15),(a01*a17),(a04*a19),(a27*a33),(a17*a21),(a12*a25),(a19*a28),(a19*a27),(a03*a28),(a17*a23),(a12*a32),(a24*a33),(a18*a21),(a16*a27),(a14*a26),(a13*a16),(a12*a20),a15_degree,a08_degree,a21_degree,a22_degree,a03_degree,a34_degree,a24_mmnorm,a13_mmnorm,a21_mmnorm,a06_mmnorm,a28_mmnorm,a19_mmnorm,a15_relu,a03_relu,a06_relu,a14_relu,a31_relu,a21_relu,a01_sin,a27_sin,a06_sin,a25_sin,a21_sin,class
10,1.3361505,1.4800787,2.1181505,-0.5786787,-1.7060431,0.7310586,0.72679996,0.72679996,-0.11570999,-1.78251,-0.45218998,-0.93794,-0.28021002,1.40303,0.28823,0.16325003,-0.19282001,0.19912004,0.44358003,0.29758,-0.36452,0.81612,-0.70262,0.43324998,-0.66163,2.0,1.46578,1.06655,-1.4811001,-1.41642,0.24657995,0.44133002,-1.06777,0.77005,0.40086,0.24554,-1.2889299,1.52239,-0.40556002,-1.29662,0.29355,0.10769999,0.40365005,0.69004,1.5432,1.8912799,0.36918998,1.80544,1.7632,0.29355,0.33212999,0.22961,-0.19521277,0.35241464,-0.7718395,-0.08681159,0.63278204,0.4282557,0.90711,0.8923,0.04650248,0.108561695,0.6303653,-0.23100445,-0.6044274,0.32989156,-0.865,0.5628718,0.36839065,-0.18521093,-0.4696056,-0.27862516,0.4623426,-0.5679324,0.29356548,51.97357,-15.653207,40.4766,-43.728134,57.295776,-51.083767,0.097279996,0.98116004,0.853225,0.40806,0.067499995,0.84938,0.90711,1.0,-0.0,-0.0,0.30996,0.70645,0.841471,0.45476648,-0.18284553,0.53005886,0.6491375,0.0
11,1.0,1.0,1.0,-1.0,1.0,0.7310586,0.0,0.0,2.0,-2.0,0.4579,-1.29354,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.70646,-0.17993,0.0,0.0,0.0,0.0,2.0,2.0,0.4579,-2.0,-1.93599,0.0,0.0,-1.29354,0.0,0.0,-2.0,-2.0,2.0,-1.5421,-2.0,0.0,0.0,0.0,0.0,2.0,1.40888,0.0,0.0,0.0,0.0,-0.63783,-0.58880997,-0.41119,1.0,-0.62745,-1.0,0.38270757,1.0,1.0,1.0,-0.5421,1.0,1.0,-0.41119,-0.62745,1.0,-0.62745,1.0,0.41119,1.0,-0.29354,-1.0,-0.40888,-1.0,0.38486972,57.295776,-57.295776,57.295776,57.295776,57.295776,-57.295776,1.0,1.0,1.0,0.0,0.186275,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,0.841471,0.841471,-0.841471,0.841471,0.841471,1.0
12,1.0887253,1.1825278,1.3119228,-0.1993729,-0.67196685,0.7310586,0.84803,0.84803,0.35938,-1.31763,-0.46101,-0.43303,0.34302,1.59778,0.66055,0.31206,0.22911,0.48427,0.6595,0.67629004,-0.35593,0.89831,-0.39954,0.70846,-0.024989963,2.0,1.77799,0.77739,-0.98949003,-1.29426,0.34382,0.09975004,-0.93829,0.35272998,0.18259996,0.14588001,-1.24549,1.50213,-0.9254,-1.20455,0.13955998,0.05514002,0.11655003,0.31285,1.54837,1.47137,0.17013001,1.5122,1.41363,0.08012003,0.28031,0.24982,-0.26793498,0.6977547,-0.55151474,-0.07751219,0.20449445,0.7143637,0.93719,0.94486,-0.14706752,0.4933751,0.8129859,-0.2955496,-0.52612966,0.68706024,-0.5837,0.78411096,0.226854,-0.3315317,-0.24183246,-0.262302,0.14039756,-0.32944328,0.15249558,53.69703,-8.707239,49.299004,-27.105486,57.295776,-38.51766,0.2439,0.978675,0.930215,0.449155,0.20815,0.950685,0.93719,1.0,-0.0,-0.0,0.68714,0.86043,0.841471,0.69054335,-0.10151483,0.74517685,0.75812304,0.0
13,1.0,1.0,1.0,-0.39896,0.62349,0.7310586,0.60104,0.60104,1.07772,0.69602,-0.78929,-1.39896,0.85232997,2.0,1.2228,0.33506,0.81174,1.15803,1.07772,0.0,-0.98791,1.2228,0.30052,0.21934998,0.81174,2.0,2.0,0.13299,0.73661005,-1.61831,0.51726997,0.0,-2.0,0.0,0.0,-0.47667998,-1.14767,1.18826,-1.86701,-0.76598,0.23661005,0.0,0.0,-0.14507997,1.28325,1.17012,0.0,0.37651002,0.84196997,0.38169003,-0.27893,-0.12866999,0.35147,1.0,0.35924,0.2228,0.17012,1.0,1.0,1.0,-0.86701,1.0,0.61831,0.35147,0.35924,1.0,0.35924,1.0,0.3107979,0.62349,-0.61831,-0.14767,-0.013221727,-0.14767,-0.35147,57.295776,-22.858723,35.42655,9.054452,57.295776,-10.786503,0.811745,1.0,0.809155,0.6114,0.67962,1.0,1.0,1.0,0.2228,0.07772,1.0,0.61831,0.841471,0.841471,0.22096127,0.841471,0.57965887,1.0
14,1.0,1.0,1.0,-0.05563,0.4175,0.7310586,0.94437003,0.94437003,1.15931,0.79204,0.27708,0.04998,1.12785,1.95603,1.0342,1.48641,1.4671199,1.44758,1.20328,1.10561,0.16144,1.0342,0.23748,0.94437003,1.4671199,2.0,2.0,1.0738,0.45277,-0.72913,-0.35856,0.0,-0.85042,0.0,0.0,-0.25891,-0.87215,0.53288,-0.92620003,-0.87215,0.0,0.0,0.0,0.0,0.51359,0.79967,0.0,0.5825,0.55242,0.0,-0.35994,-0.16231,0.19651,1.0,0.36743,0.0342,0.054263387,1.0,1.0,1.0,0.0738,1.0,1.0,0.19651,0.36743,1.0,0.36743,1.0,0.06385003,0.4175,0.10561,0.12785,0.040723085,0.12785,0.053228665,57.295776,-3.1873639,57.295776,25.644444,57.295776,26.764002,0.70875,1.0,1.0,0.5171,0.683715,1.0,1.0,1.0,0.0342,0.20328,1.0,1.0,0.841471,0.841471,0.034193333,0.841471,0.841471,0.0
15,0.0,2.5155966,2.5155966,-2.5155966,0.0,0.7310586,0.0,0.0,0.0,0.23188,-0.93996,-0.96377,0.65735,0.43685,0.6646,0.50932,1.0,0.0,0.0,0.03623,-1.93996,1.2670801,0.26708,-1.0,0.0,2.0,-1.16253,-0.50311,-0.11077,-1.0,-0.34265,0.59938,0.03623,1.0,0.0,-1.0,-1.3426499,0.0,-1.3374801,-0.34265,-0.0352,1.3768101,0.16253,-1.0352,0.0,-0.41303998,1.0,1.0,0.43685,0.43685,-1.0,1.2670801,-0.39752,-0.0,-0.09985842,0.10616965,-0.92236,-0.39752,-0.50932,-0.37681,-0.93996,0.0,-0.0,0.16253,0.26501,0.39752,0.1349749,-0.0,-0.23188,0.0,0.0,-0.13621023,0.0,-0.0,1.0,-57.295776,-57.295776,0.0,0.0,29.181887,0.0,0.5,0.5,0.5,0.63354003,0.632505,1.0,-0.0,0.50932,0.26708,0.0,1.0,0.0,0.841471,0.3871329,0.2639161,-0.16181539,0.0,1.0
16,1.0527455,1.0833962,1.2582415,0.03143087,0.18171524,0.7310586,0.9861,1.02498,0.89456004,0.27945,0.16814,0.13618,0.82391,1.78384,0.7824,1.15024,0.98118997,1.01153,0.99669003,1.00443,0.0878,0.94876003,0.0911,0.84131,0.82956004,2.0,1.75541,1.05742,0.21199,-0.73002005,-0.1011,0.17944998,-0.67990005,0.29059,0.12726998,-0.07848,-0.80834997,0.71652997,-0.73008,-0.76364005,0.16178,0.111909986,0.07994002,0.20688999,0.66254,0.86233,0.16332,0.85558,0.87443995,0.17640996,-0.09518,-0.09044,0.062054858,0.6804635,0.12111772,-0.009823234,0.011575897,0.74875927,0.9387755,0.88809,0.05569207,0.5638107,0.7249745,0.06350168,0.11742864,0.68432015,0.13589585,0.7430472,0.012438144,0.10245299,0.09077589,0.041875903,0.013876055,0.04706429,0.0067390846,53.979496,1.4312484,46.772263,6.7780905,57.092377,6.8840876,0.57221,0.946615,0.908165,0.49382,0.56819,0.93052,0.94212,0.99645,-0.0,0.10346,0.77122,0.81633,0.841471,0.7136955,-0.012359685,0.7265517,0.72863716,0.0
17,-1.0,-1.0,-1.0,1.0,1.0,0.5,0.0,1.0,-2.0,-2.0,-1.0,0.0,0.0,-2.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,1.0,-2.0,0.0,-2.0,2.0,-2.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,-0.0,-0.0,1.0,-1.0,-1.0,1.0,-1.0,-0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,57.295776,57.295776,57.295776,-57.295776,0.0,-57.295776,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.841471,-0.841471,-0.841471,0.841471,1.0
18,1.1137825,0.3118028,1.443152,0.40637252,0.49006864,0.7310586,0.27537,1.18761,0.57717997,0.58827996,0.16813,0.36912,0.51639,1.07054,0.51198,0.92371,0.47430998,0.83425,0.76383996,0.8025,0.36609,0.13807,0.19316,0.72649,1.3303599,1.66626,1.27475,0.66149,0.36768,-0.12663999,-0.14330001,0.14783001,-0.25282,0.0,-0.48580003,0.044760004,-0.03419,0.18383998,-0.43639,-0.42912,0.033089995,0.08253002,0.13260996,0.16533998,0.28581998,0.43341,0.48580003,0.44001,0.42295003,0.097330034,0.12755,-0.071,0.05600519,0.25112498,0.14370264,0.023226619,0.097799815,0.36304343,0.52737904,0.58373,0.003639056,0.46167,0.3145604,0.05924538,0.03543761,0.0664574,0.16510062,0.30015394,0.031288277,0.22625,0.09781211,0.0506729,0.033889733,0.06815986,0.050008837,45.05568,10.749261,30.875547,12.218897,38.42541,18.928232,0.61312497,0.810495,0.76944,0.525155,0.62309,0.571975,0.78637,0.67065,0.05031,0.14285,0.40663,0.53888,0.841471,0.4454439,0.05028878,0.4691959,0.513175,0.0
19,1.0,1.0,0.0,0.0,0.5625,0.5,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.28125,0.28125,0.28125,0.0,1.0,1.0,-1.0,2.0,0.0,-1.0,0.0,1.0,2.0,1.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,1.0,0.28125,-1.0,0.0,0.0,-1.0,-0.5625,0.0,2.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.5625,-1.0,0.0,1.0,-0.0,-1.0,0.0,0.0,-57.295776,57.295776,57.295776,57.295776,0.78125,0.140625,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.841471,0.0,-0.841471,-0.841471,1.0
20,1.1618147,1.045863,1.2094678,-0.09251218,-0.56682914,0.7310586,0.92351,0.92351,0.36294997,-0.85614,-0.40101,-0.39533,0.64832,1.7578399,0.72847,0.61768997,0.41434,0.55928004,0.60511,0.68116,-0.112169996,0.90166,-0.49323002,0.84044003,0.29314998,2.0,1.81874,0.99388,-0.56191003,-1.26227,0.22615,0.18125999,-1.07668,0.25646,0.21706003,0.31840003,-1.02089,1.41099,-0.83293,-1.0730901,0.08306998,0.07876003,0.18125999,0.19551998,1.29924,1.40372,0.03939998,1.46866,1.44072,0.08306998,0.33467,0.012390003,-0.091552675,0.7864817,-0.38904884,-0.08130849,0.13942067,0.82681,1.0,0.92124,-0.005292148,0.6147663,0.8447126,-0.09065908,-0.36518413,0.7149674,-0.42231,0.8849431,0.0449287,-0.34846744,-0.29235396,-0.12911464,0.15942499,-0.15616,0.0382395,57.295776,-4.382554,52.536217,-25.251394,57.295776,-25.805445,0.26567,1.0,0.958465,0.45083,0.288845,0.932365,1.0,1.0,-0.0,-0.0,0.80448,0.91693,0.841471,0.7357748,-0.09818157,0.7302857,0.793738,0.0
21,0.0,-1.0,0.0,0.0,0.0,0.5,-1.0,0.0,-1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,2.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,-2.0,1.0,0.0,0.0,-1.0,1.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,-0.0,0.0,-0.0,1.0,-1.0,0.0,-0.0,0.0,-57.295776,0.0,-57.295776,57.295776,57.295776,57.295776,0.5,0.5,0.0,0.5,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.841471,0.0,0.0,-0.841471,1.0
22,1.1052005,1.295516,1.7226231,0.1604279,-0.102134325,0.7310586,0.99482,1.09313,0.43522,-0.00197,0.009460002,0.09593,0.61141,1.38927,0.62347,0.9482,0.75023997,0.75345,0.77107996,0.83529997,0.019440003,0.94465,-0.018460002,0.75273997,0.51917,2.0,1.4321101,0.96351,0.09816,-0.71256,0.11082,0.33585995,-0.49384,0.47901,0.12058997,0.15455,-0.65375,0.6434,-0.50963,-0.5613,0.34039003,0.23456001,0.27572995,0.48689997,0.67212,1.03776,0.35842,1.05929,0.97168,0.23302001,0.027609996,0.017159998,0.014977159,0.3572125,-0.016877953,0.02493871,0.0040797973,0.5081436,0.84094787,0.76544,0.053306013,0.30243993,0.5048919,0.014364667,-0.016582923,0.43657836,-0.021183657,0.49109098,-3.8700005e-06,-0.030889498,0.0018469079,0.057069942,0.004732411,0.08184307,-0.00136611,50.153282,5.3359556,37.792866,-4.529231,55.044624,-0.10427831,0.470355,0.91625,0.829805,0.52148,0.488975,0.87602997,0.87534,0.96071,0.04296,-0.0,0.5131,0.65961,0.841471,0.54845047,0.042946786,0.5284468,0.6128087,0.0
23,0.0,-1.0,0.0,0.0,0.0,0.5,-1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,-1.0,0.0,1.0,0.0,0.0,-1.0,2.0,1.0,0.0,-1.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0.0,-0.0,0.0,1.0,0.0,0.0,57.295776,57.295776,-57.295776,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,0.841471,0.0,-0.841471,0.841471,1.0
