,checking_status_'<0'_tanh,other_parties_none_tanh,property_magnitude_car_tanh,existing_credits_tanh,property_magnitude_car_sigmoid,housing_own_sigmoid,checking_status_'<0'_sigmoid,duration_sigmoid,credit_history_kterm_ln,residence_since_ln,other_payment_plans_kterm_ln,own_telephone_kterm_ln,age_ln,(age+employment_kterm),(personal_status_kterm+housing_own),(checking_status_kterm+housing_kterm),(checking_status_kterm+savings_status_'<100'),(employment_'>=7'+foreign_worker_yes),(duration+job_skilled),(existing_credits+savings_status_kterm),(credit_amount+personal_status_kterm),(other_payment_plans_kterm+credit_history_'existing paid'),(credit_amount+residence_since),(savings_status_kterm+own_telephone_yes),(savings_status_kterm+own_telephone_kterm),(personal_status_kterm+credit_history_'existing paid'),(checking_status_kterm+credit_history_kterm),(own_telephone_kterm+other_payment_plans_none),(installment_commitment+housing_kterm),(credit_history_kterm+checking_status_'no checking'),(installment_commitment+checking_status_'<0'),(credit_history_'critical/other existing credit'+foreign_worker_yes),(foreign_worker_kterm+other_payment_plans_none),(age+other_parties_none),(credit_amount+other_parties_kterm),(duration+num_dependents),(housing_kterm+property_magnitude_'real estate'),(existing_credits+foreign_worker_yes),(savings_status_kterm*checking_status_'no checking'),(installment_commitment*other_parties_none),(own_telephone_kterm*employment_'>=7'),(own_telephone_kterm*foreign_worker_kterm),(other_payment_plans_none*own_telephone_yes),(savings_status_'<100'*job_skilled),(other_parties_kterm*foreign_worker_kterm),(credit_history_kterm*savings_status_'<100'),(own_telephone_kterm*housing_own),(residence_since*job_skilled),(credit_amount*other_parties_none),(existing_credits*checking_status_'no checking'),(duration*credit_amount),(installment_commitment*personal_status_'male single'),(credit_history_kterm*employment_kterm),(residence_since*housing_own),(checking_status_kterm*employment_kterm),(installment_commitment*employment_kterm),(employment_kterm*property_magnitude_car),(credit_history_'existing paid'*savings_status_'<100'),(own_telephone_kterm*personal_status_'male single'),(installment_commitment*savings_status_'<100'),(foreign_worker_kterm*property_magnitude_'real estate'),(checking_status_'<0'*other_parties_none),(age*credit_history_kterm),checking_status_kterm_mmnorm,job_kterm_mmnorm,other_payment_plans_kterm_mmnorm,foreign_worker_kterm_mmnorm,credit_history_kterm_mmnorm,(age-other_payment_plans_none),(other_payment_plans_kterm-own_telephone_kterm),(installment_commitment-num_dependents),(job_kterm-purpose),(credit_amount-other_payment_plans_kterm),(age-employment_kterm),(existing_credits-checking_status_'<0'),(other_payment_plans_none-purpose),(credit_history_kterm-job_skilled),(installment_commitment-purpose),(checking_status_kterm-other_parties_kterm),(credit_history_'existing paid'-personal_status_'male single'),(residence_since-foreign_worker_kterm),(purpose_kterm-other_parties_kterm),(purpose_kterm-checking_status_'<0'),(credit_history_'critical/other existing credit'-job_skilled),(housing_kterm-own_telephone_yes),(credit_history_'critical/other existing credit'-personal_status_'male single'),(credit_history_kterm-own_telephone_yes),(checking_status_kterm-savings_status_'<100'),(age-personal_status_'male single'),(purpose_kterm-foreign_worker_kterm),(checking_status_'<0'-checking_status_'no checking'),(employment_kterm-own_telephone_yes),(num_dependents-job_kterm),checking_status_'no checking'_negative,checking_status_'<0'_negative,own_telephone_kterm_negative,duration_negative,credit_history_'critical/other existing credit'_negative,purpose_kterm_negative,installment_commitment_degree,credit_history_'critical/other existing credit'_degree,employment_kterm_degree,checking_status_'<0'_degree,purpose_kterm_degree,residence_since_degree,class
10,0.0,0.7615942,0.7615942,0.7615942,0.7310586,0.5,0.5,0.9999938,6.272877,0.0,6.7019606,6.3902407,3.218876,197.0,310.0,448.0,270.0,1.0,13.0,604.0,1605.0,815.0,1296.0,603.0,1199.0,311.0,799.0,597.0,182.0,530.0,3.0,1.0,964.0,26.0,2202.0,13.0,179.0,2.0,0.0,3.0,0.0,573948.0,0.0,1.0,873441.0,530.0,0.0,1.0,1295.0,0.0,15540.0,0.0,91160.0,0.0,46268.0,516.0,172.0,1.0,0.0,3.0,0.0,0.0,13250.0,0.62235653,1.0,0.99999994,1.0,0.99999994,24.0,218.0,2.0,629.0,481.0,-147.0,1.0,0.0,529.0,2.0,-638.0,1.0,-962.0,-673.0,234.0,-1.0,179.0,0.0,530.0,268.0,25.0,-729.0,0.0,172.0,-629.0,-0.0,-0.0,-596.0,-12.0,-0.0,-234.0,171.88733,0.0,9854.873,0.0,13407.212,57.295776,0.0
11,0.7615942,0.7615942,0.0,0.7615942,0.5,0.5,0.7310586,1.0,6.272877,1.3862944,6.7019606,6.3902407,3.1780539,196.0,310.0,453.0,275.0,1.0,49.0,604.0,4618.0,815.0,4312.0,603.0,1199.0,311.0,804.0,597.0,182.0,530.0,4.0,1.0,964.0,25.0,5215.0,49.0,179.0,2.0,0.0,3.0,0.0,573948.0,0.0,1.0,873441.0,530.0,0.0,4.0,4308.0,0.0,206784.0,0.0,91160.0,0.0,47128.0,516.0,0.0,1.0,0.0,3.0,0.0,1.0,12720.0,0.63746226,1.0,0.99999994,1.0,0.99999994,23.0,218.0,2.0,627.0,3494.0,-148.0,0.0,-2.0,529.0,0.0,-633.0,1.0,-959.0,-810.0,96.0,-1.0,179.0,0.0,530.0,273.0,24.0,-866.0,1.0,172.0,-629.0,-0.0,-1.0,-596.0,-48.0,-0.0,-97.0,171.88733,0.0,9854.873,57.295776,5557.6904,229.1831,0.0
12,0.0,0.7615942,0.7615942,0.7615942,0.7310586,0.7310586,0.5,0.9999938,6.272877,0.0,6.7019606,6.001415,3.0910425,361.0,311.0,982.0,270.0,1.0,13.0,604.0,1877.0,815.0,1568.0,604.0,1007.0,311.0,799.0,405.0,714.0,530.0,1.0,1.0,964.0,23.0,2474.0,13.0,713.0,2.0,0.0,1.0,0.0,389052.0,1.0,1.0,873441.0,530.0,404.0,1.0,1567.0,0.0,18804.0,0.0,179670.0,1.0,91191.0,339.0,339.0,1.0,0.0,1.0,0.0,0.0,11660.0,0.62235653,1.0,0.99999994,1.0,0.99999994,21.0,410.0,0.0,623.0,753.0,-317.0,1.0,-6.0,529.0,-6.0,-638.0,1.0,-962.0,-627.0,280.0,-1.0,712.0,0.0,529.0,268.0,22.0,-683.0,0.0,338.0,-629.0,-0.0,-0.0,-404.0,-12.0,-0.0,-280.0,57.295776,0.0,19423.268,0.0,16042.817,57.295776,1.0
13,0.7615942,0.7615942,0.7615942,0.9640276,0.7310586,0.7310586,0.7310586,1.0,5.6801724,1.3862944,6.7019606,6.3902407,4.0943446,313.0,549.0,987.0,275.0,2.0,24.0,605.0,1747.0,814.0,1203.0,603.0,1199.0,548.0,567.0,597.0,717.0,293.0,5.0,2.0,964.0,61.0,2106.0,25.0,713.0,3.0,0.0,4.0,596.0,573948.0,0.0,0.0,873441.0,293.0,596.0,0.0,1199.0,0.0,28776.0,4.0,74129.0,4.0,69322.0,1012.0,253.0,0.0,596.0,4.0,0.0,1.0,17580.0,0.63746226,0.29276314,0.99999994,1.0,0.5163265,59.0,218.0,3.0,199.0,385.0,-193.0,1.0,0.0,293.0,3.0,-633.0,-1.0,-959.0,-673.0,233.0,1.0,713.0,0.0,293.0,273.0,59.0,-729.0,1.0,253.0,-199.0,-0.0,-1.0,-596.0,-24.0,-1.0,-234.0,229.1831,57.295776,14495.831,57.295776,13407.212,229.1831,0.0
14,0.7615942,0.7615942,0.7615942,0.7615942,0.7310586,0.5,0.7310586,0.99999964,6.272877,1.3862944,6.7019606,6.3902407,3.3322046,367.0,310.0,453.0,275.0,1.0,16.0,604.0,1713.0,815.0,1407.0,603.0,1199.0,311.0,804.0,597.0,181.0,530.0,3.0,1.0,964.0,29.0,2310.0,16.0,179.0,2.0,0.0,2.0,0.0,573948.0,0.0,1.0,873441.0,530.0,0.0,4.0,1403.0,0.0,21045.0,0.0,179670.0,0.0,92886.0,678.0,339.0,1.0,0.0,2.0,0.0,1.0,14840.0,0.63746226,1.0,0.99999994,1.0,0.99999994,27.0,218.0,1.0,629.0,589.0,-311.0,0.0,0.0,529.0,1.0,-633.0,1.0,-959.0,-673.0,233.0,-1.0,179.0,0.0,530.0,273.0,28.0,-729.0,1.0,339.0,-629.0,-0.0,-1.0,-596.0,-15.0,-0.0,-234.0,114.59155,0.0,19423.268,57.295776,13407.212,229.1831,1.0
15,0.7615942,0.7615942,0.7615942,0.7615942,0.7310586,0.7310586,0.7310586,1.0,6.272877,0.6931472,6.7019606,6.3902407,3.465736,371.0,311.0,987.0,274.0,1.0,24.0,104.0,1592.0,815.0,1284.0,103.0,699.0,311.0,804.0,597.0,717.0,530.0,5.0,1.0,964.0,33.0,2189.0,25.0,713.0,2.0,0.0,4.0,0.0,573948.0,0.0,0.0,873441.0,0.0,596.0,0.0,1282.0,0.0,30768.0,0.0,179670.0,2.0,92886.0,1356.0,339.0,0.0,0.0,0.0,0.0,1.0,16960.0,0.63746226,0.29276314,0.99999994,1.0,0.99999994,31.0,218.0,3.0,193.0,468.0,-307.0,0.0,-6.0,530.0,-3.0,-633.0,1.0,-961.0,-627.0,279.0,0.0,713.0,0.0,530.0,274.0,32.0,-683.0,1.0,339.0,-199.0,-0.0,-1.0,-596.0,-24.0,-0.0,-280.0,229.1831,0.0,19423.268,57.295776,16042.817,114.59155,0.0
16,0.0,0.7615942,0.0,0.9640276,0.5,0.7310586,0.5,1.0,5.6801724,1.3862944,6.7019606,6.3902407,3.9702919,306.0,549.0,1107.0,394.0,2.0,25.0,185.0,2972.0,814.0,2428.0,183.0,779.0,548.0,687.0,597.0,717.0,294.0,4.0,2.0,964.0,54.0,3331.0,25.0,713.0,3.0,183.0,4.0,596.0,573948.0,0.0,0.0,873441.0,0.0,596.0,4.0,2424.0,2.0,58176.0,4.0,74129.0,4.0,99682.0,1012.0,0.0,0.0,596.0,0.0,0.0,0.0,15529.0,1.0,1.0,0.99999994,1.0,0.5163265,52.0,218.0,3.0,623.0,1610.0,-200.0,2.0,-6.0,292.0,-3.0,-513.0,-1.0,-959.0,-627.0,280.0,0.0,713.0,0.0,293.0,394.0,52.0,-683.0,-1.0,253.0,-629.0,-1.0,-0.0,-596.0,-24.0,-1.0,-280.0,229.1831,57.295776,14495.831,0.0,16042.817,229.1831,1.0
17,0.7615942,0.7615942,0.7615942,0.9950548,0.7310586,0.7310586,0.7310586,1.0,3.6888795,1.0986123,4.934474,6.3902407,3.218876,197.0,549.0,987.0,274.0,1.0,31.0,186.0,8620.0,139.0,8075.0,183.0,779.0,548.0,314.0,596.0,715.0,40.0,3.0,1.0,963.0,26.0,8979.0,31.0,713.0,4.0,0.0,2.0,0.0,573948.0,0.0,0.0,873441.0,0.0,596.0,3.0,8072.0,0.0,242160.0,2.0,6880.0,3.0,47128.0,344.0,172.0,0.0,596.0,0.0,0.0,1.0,1000.0,0.63746226,1.0,0.11994785,1.0,0.0,25.0,-457.0,1.0,627.0,7933.0,-147.0,2.0,-3.0,39.0,-1.0,-633.0,-1.0,-960.0,-810.0,96.0,-1.0,713.0,-1.0,40.0,274.0,24.0,-866.0,1.0,172.0,-629.0,-0.0,-1.0,-596.0,-30.0,-0.0,-97.0,114.59155,0.0,9854.873,57.295776,5557.6904,171.88733,1.0
18,0.0,0.7615942,0.0,0.7615942,0.5,0.5,0.5,1.0,6.272877,0.6931472,6.7019606,6.001415,3.7841897,297.0,310.0,377.0,270.0,2.0,24.0,604.0,12889.0,815.0,12581.0,604.0,1007.0,311.0,799.0,405.0,112.0,530.0,4.0,1.0,964.0,45.0,13486.0,25.0,108.0,2.0,0.0,4.0,404.0,389052.0,1.0,0.0,873441.0,530.0,0.0,0.0,12579.0,0.0,301896.0,0.0,134090.0,0.0,68057.0,1012.0,0.0,1.0,0.0,4.0,0.0,0.0,23320.0,0.62235653,0.20723684,0.99999994,1.0,0.99999994,43.0,410.0,3.0,146.0,11765.0,-209.0,1.0,-1.0,530.0,2.0,-638.0,1.0,-961.0,-804.0,103.0,0.0,107.0,0.0,529.0,268.0,44.0,-860.0,0.0,252.0,-147.0,-0.0,-0.0,-404.0,-24.0,-0.0,-103.0,229.1831,0.0,14495.831,0.0,5901.465,114.59155,0.0
19,0.0,0.7615942,0.7615942,0.7615942,0.7310586,0.7310586,0.5,1.0,6.272877,0.6931472,6.7019606,6.001415,3.4339871,284.0,549.0,1107.0,394.0,2.0,25.0,64.0,3978.0,815.0,3432.0,64.0,467.0,549.0,924.0,405.0,716.0,531.0,3.0,1.0,964.0,32.0,4337.0,26.0,713.0,2.0,63.0,3.0,404.0,389052.0,1.0,0.0,873441.0,0.0,404.0,2.0,3430.0,1.0,82320.0,3.0,134090.0,2.0,99682.0,759.0,253.0,0.0,404.0,0.0,0.0,0.0,16430.0,1.0,1.0,0.99999994,1.0,0.99999994,30.0,410.0,1.0,623.0,2616.0,-222.0,1.0,-6.0,529.0,-4.0,-513.0,0.0,-961.0,-627.0,280.0,-1.0,712.0,-1.0,529.0,394.0,30.0,-683.0,-1.0,252.0,-628.0,-1.0,-0.0,-404.0,-24.0,-0.0,-280.0,171.88733,0.0,14495.831,0.0,16042.817,114.59155,1.0
20,0.0,0.7615942,0.7615942,0.9950548,0.7310586,0.7310586,0.5,0.9998766,5.6801724,1.3862944,6.7019606,6.001415,3.871201,387.0,549.0,1107.0,395.0,1.0,10.0,606.0,2682.0,814.0,2138.0,604.0,1007.0,548.0,687.0,405.0,717.0,294.0,4.0,2.0,964.0,49.0,3041.0,10.0,713.0,4.0,603.0,4.0,0.0,389052.0,1.0,1.0,873441.0,293.0,404.0,4.0,2134.0,3.0,19206.0,4.0,99327.0,4.0,133566.0,1356.0,339.0,0.0,404.0,4.0,0.0,0.0,14064.0,1.0,1.0,0.99999994,1.0,0.5163265,47.0,410.0,3.0,629.0,1320.0,-291.0,3.0,0.0,292.0,3.0,-513.0,-1.0,-959.0,-673.0,234.0,0.0,712.0,0.0,292.0,393.0,47.0,-729.0,-1.0,338.0,-629.0,-1.0,-0.0,-404.0,-9.0,-1.0,-234.0,229.1831,57.295776,19423.268,0.0,13407.212,229.1831,1.0
21,0.7615942,0.7615942,0.0,0.7615942,0.5,0.5,0.7310586,0.9975274,6.272877,1.0986123,6.7019606,6.3902407,3.7841897,383.0,548.0,453.0,274.0,1.0,7.0,64.0,3195.0,815.0,2650.0,63.0,659.0,549.0,804.0,597.0,181.0,530.0,3.0,1.0,964.0,45.0,3554.0,8.0,180.0,2.0,0.0,2.0,0.0,573948.0,0.0,0.0,873441.0,0.0,0.0,3.0,2647.0,0.0,15882.0,2.0,179670.0,0.0,92886.0,678.0,0.0,0.0,596.0,0.0,963.0,1.0,23320.0,0.63746226,1.0,0.99999994,1.0,0.99999994,43.0,218.0,0.0,623.0,1833.0,-295.0,0.0,-6.0,529.0,-5.0,-633.0,0.0,-960.0,-627.0,279.0,-1.0,179.0,-1.0,530.0,274.0,43.0,-683.0,1.0,339.0,-628.0,-0.0,-1.0,-596.0,-6.0,-0.0,-280.0,114.59155,0.0,19423.268,57.295776,16042.817,171.88733,1.0
