,fixed acidity_square,alcohol_square,volatile acidity_square,chlorides_exp,density_sin,volatile acidity_sin,fixed acidity_sin,density_sigmoid,chlorides_sigmoid,alcohol_sigmoid,alcohol_cos,chlorides_cos,density_cos,free sulfur dioxide_rbfFeature,sulphates_rbfFeature,pH_rbfFeature,residual sugar_tanh,volatile acidity_tanh,free sulfur dioxide_tanh,pH_zscore,alcohol_zscore,residual sugar_zscore,citric acid_zscore,alcohol_degree,residual sugar_degree,citric acid_degree,sulphates_degree,quality
27,49.0,110.25,0.0784,1.0523229,0.83935744,0.27635565,0.6569866,0.7302911,0.5127472,0.99997246,-0.47553694,0.9986998,0.54357994,-0.16187887,0.043802187,0.37580827,0.99999994,0.27290508,1.0,1.269882,-0.01159456,0.45520398,0.46119884,601.6057,498.47327,22.345354,30.366764,6
28,54.76,134.56,0.0729,1.048122,0.8367933,0.26673144,0.8987081,0.72936434,0.51174784,0.9999908,0.56828964,0.9988957,0.5475189,0.38777006,0.19587675,0.06715644,0.800499,0.26362485,1.0,0.011480335,0.8823547,-1.0433546,1.2049547,664.63104,63.025356,27.501974,28.074932,6
29,51.84,151.29,0.1024,1.0335505,0.83635503,0.31456655,0.79366785,0.72920644,0.5082492,0.99999547,0.96473265,0.9994556,0.54818815,0.33382475,0.42094555,0.087014906,0.9640276,0.30950692,1.0,-0.5846046,1.4512315,-0.8658938,0.2132802,704.7381,114.59156,20.62648,40.680004,7
30,72.25,100.0,0.0576,1.0449823,0.84006333,0.23770262,0.7984871,0.7305471,0.51099825,0.9999546,-0.8390715,0.99903214,0.5424883,0.17220739,-0.30894372,0.10286002,1.0,0.23549575,1.0,0.077712,-0.41793513,0.7904079,0.46119884,572.9578,595.8761,22.345354,30.366764,6
31,68.89,104.04,0.0196,1.0428945,0.8378867,0.13954312,0.90217185,0.729759,0.51049846,0.9999628,-0.71426564,0.99911815,0.5458442,-0.37959713,-0.3920802,0.20280999,0.800499,0.13909245,0.99999833,1.8659669,-0.2553989,-1.0433546,0.04800112,584.41693,63.025356,19.480564,22.918312,6
32,54.76,116.64,0.0625,1.0512711,0.83712167,0.24740396,0.8987081,0.72948277,0.5124974,0.9999796,-0.1943299,0.99875027,0.54701674,-0.15041518,-0.419527,-0.13011496,0.967395,0.24491866,1.0,0.011480335,0.23220977,-0.8560348,0.2132802,618.79443,117.456345,20.62648,25.210142,6
33,38.44,81.0,0.0144,1.0460279,0.8381595,0.119712204,-0.083089404,0.72985756,0.5112481,0.9998766,-0.91113025,0.9989877,0.5454252,0.07063501,-0.37654147,0.41958085,0.90514827,0.1194273,1.0,1.5348086,-1.2306162,-0.96448314,0.04800112,515.662,85.94367,19.480564,29.220848,6
34,33.64,104.04,0.0729,1.0449823,0.8394118,0.26673144,-0.46460217,0.7303108,0.51099825,0.9999628,-0.71426564,0.99903214,0.543496,-0.19069235,0.06460529,-0.03996441,1.0,0.26362485,1.0,1.2036502,-0.2553989,1.6875713,-1.1089524,584.41693,856.5719,11.459156,21.199438,5
35,53.29,163.84,0.0784,1.0832871,0.8363002,0.27635565,0.8504366,0.72918665,0.5199893,0.99999726,0.97283256,0.99680173,0.5482718,-0.38833717,0.313056,-0.010531682,0.93540907,0.27290508,1.0,0.011480335,1.857572,-0.9250474,0.791757,733.386,97.402824,24.637186,24.064228,5
36,42.25,100.0,0.1521,1.0523229,0.8378867,0.3801884,0.21511999,0.729759,0.5127472,0.9999546,-0.8390715,0.9986998,0.5458442,0.42339864,0.34818804,0.39910498,0.99995923,0.37136024,1.0,0.34263864,-0.41793513,-0.19548596,-0.8610338,572.9578,309.39722,13.178029,20.053522,5
37,49.0,125.44,0.1089,1.0544297,0.83635503,0.32404304,0.6569866,0.72920644,0.5132469,0.99998635,0.20300487,0.99859583,0.54818815,-0.03171437,-0.42311853,0.08627795,0.8336546,0.31852078,1.0,-0.38590965,0.5572822,-1.0236368,-0.11727796,641.7127,68.75494,18.33465,16.042818,6
38,53.29,73.96,0.0576,1.0586559,0.84141695,0.23770262,0.8504366,0.7310389,0.51424617,0.99981594,-0.67872006,0.99837595,0.54038644,0.34665,0.41820115,-0.42031533,1.0,0.23549575,1.0,0.14394367,-1.5556887,2.2791076,0.46119884,492.7437,1028.4592,22.345354,20.62648,5
39,53.29,73.96,0.0576,1.0586559,0.84141695,0.23770262,0.8504366,0.7310389,0.51424617,0.99981594,-0.67872006,0.99837595,0.54038644,0.34665,0.41820115,-0.42031533,1.0,0.23549575,1.0,0.14394367,-1.5556887,2.2791076,0.46119884,492.7437,1028.4592,22.345354,20.62648,5
40,44.89,88.36,0.0529,1.1876779,0.8380504,0.22797753,0.40484992,0.7298181,0.5428943,0.99991727,-0.99969304,0.98524445,0.54559284,-0.022698548,-0.19973539,-0.17898065,0.9866143,0.22602835,1.0,-0.51837295,-0.9055438,-0.76730436,0.46119884,538.5803,143.23946,22.345354,20.62648,6
41,44.89,88.36,0.0576,1.1888661,0.8380504,0.23770262,0.40484992,0.7298181,0.54314244,0.99991727,-0.99969304,0.9850728,0.54559284,-0.3218903,0.4263872,0.07246778,0.9939632,0.23549575,1.0,-0.5846046,-0.9055438,-0.6884329,0.46119884,538.5803,166.15776,22.345354,19.480564,6
42,49.0,96.04,0.0961,1.0714362,0.8389767,0.30505863,0.6569866,0.7301532,0.51724315,0.99994457,-0.9304263,0.99762046,0.54416734,0.16782603,-0.16977312,-0.08066693,0.9999992,0.3004371,1.0,-0.38590965,-0.58047134,0.19887157,-0.6131152,561.49866,423.98877,14.896903,26.356058,6
43,43.56,90.25,0.0576,1.0586559,0.8378867,0.23770262,0.31154135,0.729759,0.51424617,0.99992514,-0.9971722,0.99837595,0.5458442,-0.012771763,0.14470313,-0.4079001,0.88535166,0.23549575,1.0,0.21017532,-0.8242757,-0.984201,-0.5304757,544.3099,80.21409,15.46986,32.085636,6
44,44.89,90.25,0.0529,1.0618366,0.8378867,0.22797753,0.40484992,0.729759,0.5149955,0.99992514,-0.9971722,0.99820054,0.5458442,0.37769616,-0.3586812,-0.32293788,0.88535166,0.22602835,1.0,0.34263864,-0.8242757,-0.984201,-0.6131152,544.3099,80.21409,14.896903,32.085636,6
45,54.76,100.0,0.0324,1.059715,0.8377229,0.17902957,0.8987081,0.7296998,0.5144959,0.9999546,-0.8390715,0.9983185,0.54609555,-0.022624621,-0.09000193,0.39953667,0.88535166,0.17808087,1.0,-0.18721466,-0.41793513,-0.984201,-0.1999175,572.9578,80.21409,17.761692,30.366764,7
46,38.44,96.04,0.2025,1.0650269,0.83821404,0.43496552,-0.083089404,0.7298773,0.5157448,0.99994457,-0.9304263,0.9980162,0.5453414,-0.26206443,0.23529181,-0.3918546,0.9996986,0.421899,1.0,0.5413337,-0.58047134,-0.39266473,-0.6131152,561.49866,252.10143,14.896903,29.793806,4
47,38.44,96.04,0.2116,1.0682267,0.8381595,0.44394812,-0.083089404,0.72985756,0.51649404,0.99994457,-0.9304263,0.99782276,0.5454252,0.34696314,-0.2986088,0.07292933,0.9996986,0.4300842,1.0,0.4088703,-0.58047134,-0.39266473,-0.69575477,561.49866,252.10143,14.323945,29.793806,5
48,49.0,96.04,0.0961,1.0714362,0.8389767,0.30505863,0.6569866,0.7301532,0.51724315,0.99994457,-0.9304263,0.99762046,0.54416734,0.16782603,-0.16977312,-0.08066693,0.9999992,0.3004371,1.0,-0.38590965,-0.58047134,0.19887157,-0.6131152,561.49866,423.98877,14.896903,26.356058,6
49,47.61,96.04,0.0361,1.0692955,0.83875895,0.1888589,0.5784398,0.7300744,0.5167437,0.99994457,-0.9304263,0.99775636,0.5445029,-0.3846482,0.2864709,0.13162418,0.9999092,0.18774621,1.0,1.1374186,-0.58047134,-0.27435747,0.13064066,561.49866,286.4789,20.053522,27.501974,5
50,51.84,136.89,0.0361,1.0639623,0.8369575,0.1888589,0.79366785,0.7294236,0.51549506,0.9999917,0.64759636,0.99807864,0.5472678,0.13143094,0.13873886,-0.08533283,0.9216685,0.18774621,1.0,1.071187,0.9636228,-0.94476527,-0.1999175,670.3606,91.67325,17.761692,25.210142,6
51,43.56,121.0,0.0625,1.0703653,0.8367933,0.24740396,0.31154135,0.72936434,0.51699346,0.9999833,0.004425698,0.9976889,0.5475189,-0.3594242,0.20827834,0.2632348,0.800499,0.24491866,1.0,1.0049553,0.394746,-1.0433546,-0.3651966,630.2536,63.025356,16.615776,33.231552,7
52,38.44,118.81,0.0256,1.0586559,0.83657426,0.15931821,-0.083089404,0.7292854,0.51424617,0.9999815,-0.095428854,0.99837595,0.5478536,-0.078622624,-0.0289164,0.4243254,0.800499,0.1586485,1.0,0.87249196,0.31347787,-1.0433546,-0.03463842,624.524,63.025356,18.907608,26.356058,7
53,40.96,118.81,0.0324,1.0460279,0.83662903,0.17902957,0.1165492,0.72930515,0.5112481,0.9999815,-0.095428854,0.9989877,0.5477699,0.4240381,-0.071404465,-0.2981204,0.7615942,0.17808087,1.0,0.8062603,0.31347787,-1.0630726,0.13064066,624.524,57.29578,20.053522,20.053522,6
54,46.24,82.81,0.04,1.1583539,0.8376683,0.19866933,0.49411336,0.72968006,0.536684,0.99988836,-0.9477216,0.98921496,0.5461793,0.42170706,-0.07106712,0.26949745,0.71629786,0.19737533,1.0,-0.91576296,-1.1493481,-1.0827904,2.1139896,521.3916,51.5662,33.80451,21.772396,6
55,47.61,121.0,0.0625,1.0397705,0.83646464,0.24740396,0.5784398,0.7292459,0.50974876,0.9999833,0.004425698,0.9992396,0.54802084,0.4017738,0.31539136,-0.26605713,0.8617232,0.24491866,1.0,-0.38590965,0.394746,-1.0039189,0.13064066,630.2536,74.48451,20.053522,29.793806,6
56,51.84,92.16,0.0441,1.0439379,0.8394118,0.2084599,0.79366785,0.7303108,0.5107483,0.9999323,-0.98468786,0.99907565,0.543496,0.12629777,-0.3410689,0.16632803,1.0,0.2069665,1.0,-0.6508363,-0.74300754,1.086176,0.04800112,550.0395,681.81976,19.480564,28.64789,6
57,36.0,79.21,0.0361,1.0491706,0.83995485,0.1888589,-0.2794155,0.73050773,0.5119977,0.9998636,-0.8654352,0.9988482,0.5426563,0.028665291,-0.038695298,0.42480925,1.0,0.18774621,1.0,0.7400286,-1.3118844,1.1847655,-0.6131152,509.93243,710.46765,14.896903,20.62648,6
58,43.56,104.04,0.1444,1.0449823,0.8377229,0.37092048,0.31154135,0.7296998,0.51099825,0.9999628,-0.71426564,0.99903214,0.54609555,-0.31369954,0.3536674,-0.39537922,0.99979794,0.36270747,1.0,-0.51837295,-0.2553989,-0.353229,-1.5221502,584.41693,263.56058,8.594367,21.772396,6
59,54.76,98.01,0.04,1.0387312,0.8374497,0.19866933,0.8987081,0.72960114,0.50949883,0.9999498,-0.88919115,0.99927807,0.54651433,-0.35865867,-0.2000595,0.3400649,0.8336546,0.19737533,1.0,1.1374186,-0.49920323,-1.0236368,0.2132802,567.2282,68.75494,20.62648,19.480564,6
60,46.24,73.96,0.0484,1.0963649,0.8388134,0.21822962,0.49411336,0.7300941,0.5229838,0.99981594,-0.67872006,0.995771,0.544419,-0.29920197,-0.41851893,-0.33007523,0.9998891,0.21651806,1.0,-1.0482262,-1.5556887,-0.29407534,-0.7783943,492.7437,280.74933,13.750987,26.356058,6
61,36.0,79.21,0.0361,1.0491706,0.83995485,0.1888589,-0.2794155,0.73050773,0.5119977,0.9998636,-0.8654352,0.9988482,0.5426563,0.028665291,-0.038695298,0.42480925,1.0,0.18774621,1.0,0.7400286,-1.3118844,1.1847655,-0.6131152,509.93243,710.46765,14.896903,20.62648,6
62,49.0,110.25,0.2209,1.0356197,0.83657426,0.45288628,0.6569866,0.7292854,0.5087491,0.99997246,-0.47553694,0.99938756,0.5478536,0.4079072,0.04470744,0.42279398,0.800499,0.4381993,1.0,-1.114458,-0.01159456,-1.0433546,-2.1832664,601.6057,63.025356,4.0107045,19.480564,5
63,43.56,104.04,0.1444,1.0449823,0.8377229,0.37092048,0.31154135,0.7296998,0.51099825,0.9999628,-0.71426564,0.99903214,0.54609555,-0.31369954,0.3536674,-0.39537922,0.99979794,0.36270747,1.0,-0.51837295,-0.2553989,-0.353229,-1.5221502,584.41693,263.56058,8.594367,21.772396,6
64,51.84,106.09,0.0576,1.0387312,0.8375044,0.23770262,0.79366785,0.7296209,0.50949883,0.9999664,-0.6408264,0.99927807,0.5464306,0.35673878,0.0684467,-0.16906652,0.88535166,0.23549575,1.0,-0.2534463,-0.17413078,-0.984201,-0.5304757,590.14655,80.21409,15.46986,26.356058,6
65,38.44,82.81,0.1225,1.0660924,0.8378867,0.3428978,-0.083089404,0.729759,0.51599455,0.99988836,-0.9477216,0.9979527,0.5458442,0.4205641,-0.4029784,-0.2648996,0.8336546,0.33637553,1.0,0.21017532,-1.1493481,-1.0236368,-2.5138247,521.3916,68.75494,1.7188734,30.93972,5
66,40.96,158.76,0.0676,1.0408108,0.8361905,0.25708055,0.1165492,0.7291472,0.5099987,0.9999966,0.9994346,0.9992001,0.548439,-0.19986783,-0.41158223,0.412641,0.99999446,0.25429553,1.0,0.21017532,1.6950358,0.0016928067,-0.7783943,721.9268,366.693,13.750987,28.074932,7
67,44.89,96.04,0.0625,1.0418521,0.83712167,0.24740396,0.40484992,0.72948277,0.51024854,0.99994457,-0.9304263,0.99915963,0.54701674,0.42638776,0.4066777,0.09233227,0.8336546,0.24491866,1.0,-0.31967798,-0.58047134,-1.0236368,-1.6874292,561.49866,68.75494,7.4484515,24.064228,5
68,44.89,114.49,0.0529,1.0470744,0.8374497,0.22797753,0.40484992,0.72960114,0.511498,0.99997747,-0.29128927,0.9989422,0.54651433,0.17094931,0.17332579,-0.29507098,0.97045195,0.22602835,1.0,0.9387236,0.15094167,-0.8461759,-0.1999175,613.0648,120.32114,17.761692,36.6693,8
69,54.76,90.25,0.0576,1.0512711,0.8394118,0.23770262,0.8987081,0.7303108,0.5124974,0.99992514,-0.9971722,0.99875027,0.543496,-0.26865005,-0.36917287,0.40162733,1.0,0.23549575,1.0,-0.38590965,-0.8242757,0.7312542,-0.3651966,544.3099,578.6874,16.615776,20.053522,5
70,38.44,81.0,0.0729,1.0575976,0.8390855,0.26673144,-0.083089404,0.7301926,0.51399636,0.9998766,-0.91113025,0.9984324,0.54399955,0.0013656018,0.39487496,-0.14431883,0.99999964,0.26362485,1.0,-0.5846046,-1.2306162,0.27774307,0.791757,515.662,446.90707,24.637186,29.220848,6
71,46.24,90.25,0.09,1.0628989,0.8391943,0.29552022,0.49411336,0.730232,0.51524526,0.99992514,-0.9971722,0.9981401,0.5438317,-0.0035139858,-0.42614034,0.38020706,0.99979794,0.2913126,1.0,0.87249196,-0.8242757,-0.353229,-0.8610338,544.3099,263.56058,13.178029,34.37747,5
72,36.0,100.0,0.0729,1.0650269,0.83952045,0.26673144,-0.2794155,0.7303502,0.5157448,0.9999546,-0.8390715,0.9980162,0.5433281,-0.3799458,0.39672947,0.024591915,0.9998646,0.26362485,1.0,3.3230636,-0.41793513,-0.3137932,-0.44783613,572.9578,275.01974,16.042818,40.680004,5
73,73.96,82.81,0.0529,1.0554847,0.8382686,0.22797753,0.7343971,0.72989696,0.5134967,0.99988836,-0.9477216,0.99854237,0.54525757,-0.4233409,-0.41279465,0.42040098,0.7615942,0.22602835,0.99999994,-1.5780796,-1.1493481,-1.0630726,1.0396756,521.3916,57.29578,26.356058,28.074932,6
74,44.89,114.49,0.0529,1.0470744,0.8374497,0.22797753,0.40484992,0.72960114,0.511498,0.99997747,-0.29128927,0.9989422,0.54651433,0.17094931,0.17332579,-0.29507098,0.97045195,0.22602835,1.0,0.9387236,0.15094167,-0.8461759,-0.1999175,613.0648,120.32114,17.761692,36.6693,8
75,54.76,90.25,0.0576,1.0512711,0.8394118,0.23770262,0.8987081,0.7303108,0.5124974,0.99992514,-0.9971722,0.99875027,0.543496,-0.26865005,-0.36917287,0.40162733,1.0,0.23549575,1.0,-0.38590965,-0.8242757,0.7312542,-0.3651966,544.3099,578.6874,16.615776,20.053522,5
76,50.41,161.29,0.0324,1.0439379,0.8359162,0.17902957,0.72896904,0.72904843,0.5107483,0.99999696,0.9910849,0.99907565,0.54885703,0.022013763,0.4061805,-0.16424344,0.88535166,0.17808087,1.0,0.47510198,1.7763039,-0.984201,0.2132802,727.6564,80.21409,20.62648,21.199438,7
77,49.0,144.0,0.1024,1.0428945,0.8366838,0.31456655,0.6569866,0.7293249,0.51049846,0.99999386,0.84385395,0.99911815,0.5476862,-0.32109845,0.19704492,-0.12575257,0.8617232,0.30950692,1.0,0.8062603,1.2074271,-1.0039189,0.04800112,687.5494,74.48451,19.480564,37.242256,7
78,54.76,86.49,0.0324,1.0660924,0.83935744,0.17902957,0.8987081,0.7302911,0.51599455,0.99990857,-0.99222535,0.9979527,0.54357994,-0.42200273,0.2281687,0.2822411,0.99999994,0.17808087,1.0,-1.6443113,-0.9868119,0.47492185,-0.28255704,532.85077,504.20285,17.188734,32.085636,5
79,44.89,81.0,0.2916,1.0618366,0.8387045,0.514136,0.40484992,0.7300547,0.5149955,0.9998766,-0.91113025,0.99820054,0.5445868,0.40059513,0.41130456,-0.3637718,0.99995923,0.49298796,1.0,0.5413337,-1.2306162,-0.19548596,-0.44783613,515.662,309.39722,16.042818,21.199438,5
80,46.24,112.36,0.0484,1.0544297,0.83761364,0.21822962,0.49411336,0.72966033,0.5132469,0.9999751,-0.3853382,0.99859583,0.5462631,-0.11623629,0.23979056,0.40336853,0.88535166,0.21651806,1.0,1.3361136,0.06967355,-0.984201,-0.1999175,607.33527,80.21409,17.761692,44.117752,6
81,50.41,84.64,0.04,1.0512711,0.84065956,0.19866933,0.72896904,0.73076355,0.5124974,0.99989897,-0.9748436,0.99875027,0.5415639,0.18400376,-0.160692,-0.17961885,1.0,0.19737533,1.0,0.14394367,-1.0680801,1.894609,0.04800112,527.12115,916.7325,19.480564,34.37747,6
82,50.41,100.0,0.1156,1.0650269,0.8385411,0.3334871,0.72896904,0.72999555,0.5157448,0.9999546,-0.8390715,0.9980162,0.54483837,-0.4067416,-0.009076315,-0.3437655,0.9999899,0.3274774,1.0,-0.12098299,-0.41793513,-0.057460822,-1.1089524,572.9578,349.50424,11.459156,24.064228,5
83,53.29,90.25,0.0484,1.048122,0.8396291,0.21822962,0.8504366,0.7303896,0.51174784,0.99992514,-0.9971722,0.9988957,0.5431602,-0.26623592,-0.18078987,-0.3553717,0.9999998,0.21651806,1.0,0.9387236,-0.8242757,0.3566146,-0.28255704,544.3099,469.82538,17.188734,26.356058,6
84,50.41,75.69,0.1849,1.0460279,0.84006333,0.4168708,0.72896904,0.7305471,0.5112481,0.99983346,-0.7486466,0.9989877,0.5424883,0.4113764,-0.42353538,-0.06121497,1.0,0.4053213,1.0,-0.51837295,-1.4744205,1.0664581,2.2792687,498.47327,676.0902,34.950424,25.7831,5
