,employment_kterm_ln,personal_status_kterm_ln,credit_history_kterm_ln,residence_since_ln,property_magnitude_car_tanh,checking_status_'no checking'_tanh,credit_history_'critical/other existing credit'_tanh,foreign_worker_yes_tanh,checking_status_'<0'_tanh,installment_commitment_sigmoid,foreign_worker_yes_sigmoid,checking_status_'no checking'_sigmoid,duration_sigmoid,(foreign_worker_kterm-housing_own),(foreign_worker_yes-purpose),(purpose_kterm-other_payment_plans_kterm),(savings_status_kterm-foreign_worker_yes),(checking_status_kterm-property_magnitude_car),(employment_'>=7'-other_payment_plans_none),(duration-savings_status_kterm),(credit_history_kterm-personal_status_'male single'),(credit_history_'existing paid'-employment_'>=7'),(savings_status_kterm-personal_status_'male single'),(other_payment_plans_none-housing_own),(purpose_kterm-housing_own),(checking_status_'<0'-job_skilled),property_magnitude_kterm_radian,checking_status_'no checking'_radian,checking_status_kterm_radian,credit_history_'critical/other existing credit'_radian,other_parties_none_radian,foreign_worker_yes_radian,job_skilled_degree,installment_commitment_degree,checking_status_kterm_degree,property_magnitude_'real estate'_degree,credit_history_'critical/other existing credit'_degree,checking_status_'<0'_degree,(other_payment_plans_kterm+checking_status_'<0'),(duration+credit_history_'critical/other existing credit'),(checking_status_'no checking'+credit_history_'existing paid'),(housing_kterm+credit_history_'existing paid'),(savings_status_'<100'+housing_own),(checking_status_'<0'+property_magnitude_car),(foreign_worker_yes+purpose),(residence_since+credit_history_'existing paid'),(credit_amount+job_skilled),(purpose_kterm+property_magnitude_'real estate'),(job_skilled+own_telephone_yes),(credit_amount+num_dependents),(checking_status_kterm*other_parties_kterm),(checking_status_kterm*property_magnitude_car),(other_parties_kterm*property_magnitude_car),(own_telephone_kterm*other_payment_plans_none),(existing_credits*foreign_worker_kterm),(housing_kterm*property_magnitude_car),(duration*residence_since),(credit_amount*property_magnitude_car),(existing_credits*purpose),(other_payment_plans_kterm*checking_status_'no checking'),(other_parties_none*housing_own),(property_magnitude_kterm*other_parties_none),(existing_credits*own_telephone_kterm),(age/purpose_kterm),(other_parties_kterm/own_telephone_kterm),(num_dependents/checking_status_kterm),(duration/savings_status_kterm),(duration/foreign_worker_kterm),(existing_credits/num_dependents),(residence_since/foreign_worker_kterm),(residence_since/checking_status_kterm),(credit_amount/other_payment_plans_kterm),class
10,5.1474943,5.7365723,6.272877,0.0,0.7615942,0.0,0.0,0.7615942,0.0,0.95257413,0.7310586,0.5,0.9999938,963.0,0.0,-580.0,602.0,268.0,-1.0,-591.0,530.0,1.0,603.0,1.0,234.0,-1.0,5.794493,0.0,4.694936,0.0,0.017453292,0.017453292,57.295776,171.88733,15412.563,0.0,0.0,0.0,814.0,12.0,1.0,180.0,1.0,1.0,2.0,2.0,1296.0,234.0,1.0,1296.0,243983.0,269.0,907.0,596.0,963.0,179.0,12.0,1295.0,1.0,0.0,0.0,332.0,596.0,0.10683761,1.5218121,0.003717472,0.019900497,0.012461059,1.0,0.0010384216,0.003717472,1.5909091,0.0
11,5.1474943,5.7365723,6.272877,1.3862944,0.0,0.0,0.0,0.7615942,0.7615942,0.95257413,0.7310586,0.5,1.0,963.0,-2.0,-717.0,602.0,274.0,-1.0,-555.0,530.0,1.0,603.0,1.0,97.0,0.0,4.049164,0.0,4.7822022,0.0,0.017453292,0.017453292,57.295776,171.88733,15699.043,0.0,0.0,57.295776,815.0,48.0,1.0,180.0,1.0,1.0,4.0,5.0,4309.0,97.0,1.0,4309.0,248518.0,0.0,0.0,596.0,963.0,0.0,192.0,0.0,3.0,0.0,0.0,232.0,596.0,0.24742268,1.5218121,0.003649635,0.07960199,0.049844235,1.0,0.0041536866,0.01459854,5.292383,0.0
12,5.826,5.7365723,6.272877,0.0,0.7615942,0.0,0.0,0.7615942,0.0,0.7310586,0.7310586,0.5,0.9999938,962.0,-6.0,-534.0,602.0,268.0,-1.0,-591.0,530.0,1.0,603.0,0.0,279.0,-1.0,5.794493,0.0,4.694936,0.0,0.017453292,0.017453292,57.295776,57.295776,15412.563,0.0,0.0,0.0,814.0,12.0,1.0,714.0,2.0,1.0,8.0,2.0,1568.0,280.0,2.0,1568.0,243983.0,269.0,907.0,404.0,963.0,713.0,12.0,1567.0,7.0,0.0,1.0,332.0,404.0,0.07857143,2.2450495,0.003717472,0.019900497,0.012461059,1.0,0.0010384216,0.003717472,1.9250615,1.0
13,5.5333896,6.3062754,5.6801724,1.3862944,0.7615942,0.0,0.7615942,0.7615942,0.7615942,0.98201376,0.7310586,0.5,1.0,962.0,0.0,-580.0,602.0,273.0,0.0,-579.0,292.0,-1.0,602.0,0.0,233.0,1.0,5.794493,0.0,4.7822022,0.017453292,0.017453292,0.017453292,0.0,229.1831,15699.043,0.0,57.295776,57.295776,815.0,25.0,0.0,713.0,2.0,2.0,2.0,4.0,1199.0,234.0,0.0,1200.0,248518.0,274.0,907.0,596.0,1926.0,713.0,96.0,1199.0,2.0,0.0,1.0,332.0,1192.0,0.25641027,1.5218121,0.003649635,0.039800994,0.024922118,2.0,0.0041536866,0.01459854,1.472973,0.0
14,5.826,5.7365723,6.272877,1.3862944,0.7615942,0.0,0.0,0.7615942,0.7615942,0.880797,0.7310586,0.5,0.99999964,963.0,0.0,-580.0,602.0,273.0,-1.0,-588.0,530.0,1.0,603.0,1.0,234.0,0.0,5.794493,0.0,4.7822022,0.0,0.017453292,0.017453292,57.295776,114.59155,15699.043,0.0,0.0,57.295776,815.0,15.0,1.0,180.0,1.0,2.0,2.0,5.0,1404.0,234.0,1.0,1404.0,248518.0,274.0,907.0,596.0,963.0,179.0,60.0,1403.0,1.0,0.0,0.0,332.0,596.0,0.11965812,1.5218121,0.003649635,0.024875622,0.015576324,1.0,0.0041536866,0.01459854,1.7235873,1.0
15,5.826,5.7365723,6.272877,0.6931472,0.7615942,0.0,0.0,0.7615942,0.7615942,0.98201376,0.7310586,0.5,1.0,962.0,-6.0,-534.0,102.0,273.0,-1.0,-79.0,530.0,1.0,103.0,0.0,279.0,1.0,5.794493,0.0,4.7822022,0.0,0.017453292,0.017453292,0.0,229.1831,15699.043,0.0,0.0,57.295776,815.0,24.0,1.0,714.0,1.0,2.0,8.0,3.0,1282.0,280.0,0.0,1283.0,248518.0,274.0,907.0,596.0,963.0,713.0,48.0,1282.0,7.0,0.0,1.0,332.0,596.0,0.114285715,1.5218121,0.003649635,0.23300971,0.024922118,1.0,0.0020768433,0.00729927,1.5749385,0.0
16,5.5333896,6.3062754,5.6801724,1.3862944,0.0,0.7615942,0.7615942,0.7615942,0.0,0.98201376,0.7310586,0.7310586,1.0,962.0,-6.0,-534.0,182.0,394.0,0.0,-159.0,292.0,-1.0,182.0,0.0,279.0,-1.0,4.049164,0.017453292,6.8765974,0.017453292,0.017453292,0.017453292,57.295776,229.1831,22574.535,0.0,57.295776,0.0,814.0,25.0,1.0,713.0,1.0,0.0,8.0,4.0,2425.0,280.0,1.0,2425.0,357358.0,0.0,0.0,596.0,1926.0,0.0,96.0,0.0,14.0,814.0,1.0,232.0,1192.0,0.18928571,1.5218121,0.002538071,0.13114753,0.024922118,2.0,0.0041536866,0.010152284,2.977887,1.0
17,5.1474943,6.3062754,3.6888795,1.0986123,0.7615942,0.0,0.0,0.7615942,0.7615942,0.880797,0.7310586,0.5,1.0,962.0,-2.0,-42.0,182.0,273.0,0.0,-153.0,39.0,0.0,182.0,-1.0,96.0,0.0,5.794493,0.0,4.7822022,0.0,0.017453292,0.017453292,57.295776,114.59155,15699.043,0.0,0.0,57.295776,140.0,30.0,0.0,713.0,1.0,2.0,4.0,3.0,8073.0,97.0,1.0,8073.0,248518.0,274.0,907.0,0.0,2889.0,713.0,90.0,8072.0,9.0,0.0,1.0,332.0,1788.0,0.25773194,1.5218121,0.003649635,0.16393442,0.031152649,3.0,0.0031152647,0.010948905,58.07194,1.0
18,5.5333896,5.7365723,6.272877,0.6931472,0.0,0.0,0.0,0.7615942,0.0,0.98201376,0.7310586,0.5,1.0,963.0,-1.0,-711.0,602.0,269.0,0.0,-579.0,530.0,0.0,603.0,1.0,103.0,0.0,2.687807,0.0,4.694936,0.0,0.017453292,0.017453292,0.0,229.1831,15412.563,0.0,0.0,0.0,814.0,24.0,1.0,109.0,1.0,0.0,3.0,3.0,12579.0,103.0,1.0,12580.0,243983.0,0.0,0.0,404.0,963.0,0.0,48.0,0.0,2.0,0.0,0.0,154.0,404.0,0.42718446,2.2450495,0.003717472,0.039800994,0.024922118,1.0,0.0020768433,0.007434944,15.453317,0.0
19,5.5333896,6.3062754,6.272877,0.6931472,0.7615942,0.7615942,0.0,0.7615942,0.0,0.95257413,0.7310586,0.7310586,1.0,962.0,-6.0,-534.0,62.0,393.0,0.0,-39.0,529.0,0.0,62.0,0.0,279.0,-1.0,5.794493,0.017453292,6.8765974,0.0,0.017453292,0.017453292,57.295776,171.88733,22574.535,0.0,0.0,0.0,814.0,24.0,2.0,714.0,1.0,1.0,8.0,3.0,3431.0,280.0,2.0,3432.0,357358.0,394.0,907.0,404.0,963.0,713.0,48.0,3430.0,7.0,814.0,1.0,332.0,404.0,0.11071429,2.2450495,0.005076142,0.3809524,0.024922118,0.5,0.0020768433,0.005076142,4.2137594,1.0
20,5.826,6.3062754,5.6801724,1.3862944,0.7615942,0.7615942,0.7615942,0.7615942,0.0,0.98201376,0.7310586,0.7310586,0.9998766,962.0,0.0,-580.0,602.0,393.0,-1.0,-594.0,292.0,0.0,602.0,0.0,233.0,-1.0,5.794493,0.017453292,6.8765974,0.017453292,0.017453292,0.017453292,57.295776,229.1831,22574.535,0.0,57.295776,0.0,814.0,10.0,1.0,713.0,2.0,1.0,2.0,4.0,2135.0,234.0,2.0,2135.0,357358.0,394.0,907.0,404.0,2889.0,713.0,36.0,2134.0,3.0,814.0,1.0,332.0,1212.0,0.20512821,2.2450495,0.002538071,0.014925373,0.009345794,3.0,0.0041536866,0.010152284,2.6216216,1.0
21,5.826,6.3062754,6.272877,1.0986123,0.0,0.0,0.0,0.7615942,0.7615942,0.880797,0.7310586,0.5,0.9975274,963.0,-6.0,-534.0,62.0,274.0,-1.0,-57.0,529.0,1.0,62.0,1.0,280.0,0.0,4.9218283,0.0,4.7822022,0.0,0.017453292,0.017453292,57.295776,114.59155,15699.043,57.295776,0.0,57.295776,815.0,6.0,1.0,180.0,0.0,1.0,8.0,4.0,2648.0,281.0,1.0,2649.0,248518.0,0.0,0.0,596.0,963.0,0.0,18.0,0.0,7.0,0.0,0.0,282.0,596.0,0.15714286,1.5218121,0.00729927,0.0952381,0.0062305294,0.5,0.0031152647,0.010948905,3.2518427,1.0
22,5.1474943,6.3062754,5.6801724,1.0986123,0.0,0.0,0.7615942,0.0,0.7615942,0.7310586,0.5,0.5,0.9999546,37.0,-1.0,-580.0,603.0,274.0,-1.0,-593.0,292.0,0.0,602.0,1.0,234.0,1.0,4.9218283,0.0,4.7822022,0.017453292,0.017453292,0.0,0.0,57.295776,15699.043,57.295776,57.295776,57.295776,815.0,11.0,0.0,179.0,1.0,1.0,1.0,3.0,2241.0,235.0,0.0,2243.0,248518.0,0.0,0.0,596.0,74.0,0.0,30.0,0.0,2.0,0.0,0.0,282.0,1192.0,0.20512821,1.5218121,0.00729927,0.016583748,0.27027026,1.0,0.08108108,0.010948905,2.7530713,1.0
23,5.1474943,6.3062754,5.6801724,1.3862944,0.0,0.0,0.7615942,0.7615942,0.0,0.95257413,0.7310586,0.5,0.9999938,962.0,-1.0,-711.0,102.0,269.0,-1.0,-91.0,292.0,0.0,102.0,0.0,102.0,-1.0,4.049164,0.0,4.694936,0.017453292,0.017453292,0.017453292,57.295776,171.88733,15412.563,0.0,57.295776,0.0,814.0,13.0,0.0,713.0,1.0,0.0,3.0,4.0,1805.0,103.0,1.0,1805.0,243983.0,0.0,0.0,596.0,963.0,0.0,48.0,0.0,2.0,0.0,1.0,232.0,596.0,0.42718446,1.5218121,0.003717472,0.116504855,0.012461059,1.0,0.0041536866,0.014869888,2.2162163,1.0
24,5.826,4.5217886,5.6801724,0.0,0.7615942,0.7615942,0.7615942,0.0,0.0,0.880797,0.5,0.7310586,0.9999546,36.0,-5.0,-633.0,183.0,393.0,-1.0,-173.0,293.0,0.0,183.0,0.0,180.0,-1.0,5.794493,0.017453292,6.8765974,0.017453292,0.017453292,0.0,57.295776,114.59155,22574.535,0.0,57.295776,0.0,814.0,11.0,1.0,713.0,1.0,1.0,5.0,1.0,2070.0,181.0,1.0,2070.0,357358.0,394.0,907.0,596.0,74.0,713.0,10.0,2069.0,10.0,814.0,1.0,332.0,1192.0,0.1436464,1.5218121,0.002538071,0.05464481,0.27027026,2.0,0.027027028,0.002538071,2.541769,1.0
25,5.826,6.3062754,6.272877,0.6931472,0.0,0.0,0.0,0.7615942,0.7615942,0.7310586,0.7310586,0.5,0.9975274,962.0,-4.0,42.0,602.0,274.0,0.0,-597.0,529.0,1.0,602.0,-1.0,180.0,1.0,4.9218283,0.0,4.7822022,0.0,0.017453292,0.017453292,0.0,57.295776,15699.043,57.295776,0.0,57.295776,140.0,6.0,1.0,714.0,2.0,1.0,6.0,3.0,1374.0,182.0,1.0,1375.0,248518.0,0.0,0.0,0.0,963.0,0.0,12.0,0.0,5.0,0.0,1.0,282.0,404.0,0.19889502,2.2450495,0.003649635,0.0099502485,0.0062305294,1.0,0.0020768433,0.00729927,9.884892,1.0
26,5.5333896,4.5217886,3.6888795,1.3862944,0.7615942,0.7615942,0.0,0.7615942,0.0,0.98201376,0.7310586,0.7310586,0.9975274,962.0,-6.0,-534.0,602.0,393.0,0.0,-597.0,40.0,-1.0,603.0,0.0,279.0,0.0,5.794493,0.017453292,6.8765974,0.0,0.017453292,0.017453292,0.0,229.1831,22574.535,0.0,0.0,0.0,814.0,6.0,1.0,713.0,2.0,1.0,8.0,4.0,426.0,280.0,0.0,427.0,357358.0,394.0,907.0,596.0,963.0,713.0,24.0,426.0,7.0,814.0,1.0,332.0,596.0,0.13928571,1.5218121,0.002538071,0.0099502485,0.0062305294,1.0,0.0041536866,0.010152284,0.52334154,1.0
27,5.826,5.7365723,3.8918202,1.0986123,0.0,0.0,0.0,0.7615942,0.0,0.95257413,0.7310586,0.5,0.9999938,963.0,-6.0,-534.0,47.0,63.0,-1.0,-36.0,49.0,0.0,48.0,1.0,280.0,-1.0,4.9218283,0.0,1.0995574,0.0,0.017453292,0.017453292,57.295776,171.88733,3609.6338,57.295776,0.0,0.0,814.0,12.0,0.0,179.0,0.0,0.0,8.0,3.0,410.0,281.0,1.0,410.0,57141.0,0.0,0.0,596.0,1926.0,0.0,36.0,0.0,14.0,0.0,0.0,282.0,1192.0,0.15,1.5218121,0.015873017,0.25,0.012461059,2.0,0.0031152647,0.04761905,0.502457,1.0
28,5.826,6.3062754,6.272877,0.6931472,0.0,0.0,0.0,0.7615942,0.0,0.95257413,0.7310586,0.5,0.999089,962.0,-6.0,-534.0,602.0,269.0,-1.0,-596.0,529.0,1.0,602.0,0.0,279.0,-1.0,4.9218283,0.0,4.694936,0.0,0.0,0.017453292,57.295776,171.88733,15412.563,57.295776,0.0,0.0,814.0,7.0,1.0,714.0,2.0,0.0,8.0,3.0,2416.0,281.0,1.0,2416.0,13988.0,0.0,0.0,596.0,963.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,596.0,0.12142857,0.087248325,0.003717472,0.011608624,0.0072689513,1.0,0.0020768433,0.007434944,2.9668305,1.0
29,5.5333896,6.3062754,4.477337,1.3862944,0.0,0.0,0.0,0.7615942,0.7615942,0.95257413,0.7310586,0.5,1.0,962.0,-2.0,-717.0,602.0,274.0,0.0,-543.0,87.0,-1.0,602.0,0.0,96.0,0.0,2.687807,0.0,4.7822022,0.0,0.017453292,0.017453292,57.295776,171.88733,15699.043,0.0,0.0,57.295776,815.0,60.0,0.0,713.0,2.0,1.0,4.0,4.0,6837.0,97.0,2.0,6837.0,248518.0,0.0,0.0,404.0,1926.0,0.0,240.0,0.0,6.0,0.0,1.0,154.0,808.0,0.6494845,2.2450495,0.003649635,0.09950249,0.062305298,2.0,0.0041536866,0.01459854,8.398034,0.0
30,5.1474943,4.5217886,6.272877,1.0986123,0.0,0.0,0.0,0.7615942,0.0,0.95257413,0.7310586,0.5,1.0,962.0,-2.0,-42.0,47.0,269.0,0.0,-30.0,530.0,1.0,48.0,-1.0,96.0,-1.0,4.9218283,0.0,4.694936,0.0,0.017453292,0.017453292,57.295776,171.88733,15412.563,57.295776,0.0,0.0,139.0,18.0,1.0,714.0,1.0,0.0,4.0,4.0,1914.0,98.0,2.0,1914.0,243983.0,0.0,0.0,0.0,963.0,0.0,54.0,0.0,3.0,0.0,1.0,282.0,404.0,0.371134,2.2450495,0.003717472,0.375,0.018691588,1.0,0.0031152647,0.0111524165,13.762589,1.0
31,5.826,6.3062754,6.272877,0.6931472,0.7615942,0.0,0.0,0.7615942,0.7615942,0.880797,0.7310586,0.5,1.0,962.0,-4.0,134.0,602.0,273.0,0.0,-579.0,529.0,1.0,602.0,-1.0,180.0,0.0,5.794493,0.0,4.7822022,0.0,0.017453292,0.017453292,57.295776,114.59155,15699.043,0.0,0.0,57.295776,48.0,24.0,1.0,714.0,2.0,2.0,6.0,3.0,4021.0,181.0,1.0,4021.0,248518.0,274.0,907.0,0.0,963.0,713.0,48.0,4020.0,5.0,0.0,1.0,332.0,596.0,0.14917128,1.5218121,0.003649635,0.039800994,0.024922118,1.0,0.0020768433,0.00729927,85.53191,1.0
32,5.826,6.3062754,6.272877,0.6931472,0.7615942,0.0,0.0,0.7615942,0.0,0.880797,0.7310586,0.5,1.0,962.0,0.0,-580.0,102.0,268.0,-1.0,-85.0,529.0,1.0,102.0,0.0,233.0,-1.0,5.794493,0.0,4.694936,0.0,0.017453292,0.017453292,57.295776,114.59155,15412.563,0.0,0.0,0.0,814.0,18.0,1.0,714.0,1.0,1.0,2.0,3.0,5867.0,234.0,2.0,5867.0,243983.0,269.0,907.0,404.0,1926.0,713.0,36.0,5866.0,2.0,0.0,1.0,332.0,808.0,0.12820514,2.2450495,0.003717472,0.17475729,0.018691588,2.0,0.0020768433,0.007434944,7.206388,1.0
