,frequency_ln,free_stream_velocity_ln,chord_length_radian,suction_side_displacement_thickness_radian,chord_length_sigmoid,suction_side_displacement_thickness_sigmoid,suction_side_displacement_thickness_tanh,chord_length_tanh,suction_side_displacement_thickness_zscore,angle_of_attack_zscore,free_stream_velocity_adde,suction_side_displacement_thickness_adde,chord_length_adde,suction_side_displacement_thickness_sin,frequency_sin,chord_length_sin,chord_length_degree,angle_of_attack_degree,frequency_degree,chord_length_relu,frequency_relu,angle_of_attack_relu,scaled_sound_pressure_level
10,8.987197,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,0.997843,0.3001024,17.463753,0.0,458366.22,0.3048,8000.0,0.0,117.151
11,9.2103405,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,-0.30561438,0.3001024,17.463753,0.0,572957.75,0.3048,10000.0,0.0,115.391
12,9.433484,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,0.38680893,0.3001024,17.463753,0.0,716197.2,0.3048,12500.0,0.0,112.241
13,9.680344,4.2668962,0.0053197634,4.6484576e-05,0.57561547,0.50066584,0.0026633637,0.2956991,-0.6448046,-1.146403,74.01829,2.7209451,3.0230818,0.0026633667,0.13100706,0.3001024,17.463753,0.0,916732.44,0.3048,16000.0,0.0,108.721
14,6.214608,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.4677718,0.3001024,17.463753,0.0,28647.889,0.3048,500.0,0.0,126.416
15,6.4457197,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,0.993882,0.3001024,17.463753,0.0,36096.34,0.3048,630.0,0.0,127.696
16,6.684612,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,0.89396966,0.3001024,17.463753,0.0,45836.62,0.3048,800.0,0.0,128.086
17,6.9077554,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,0.82687956,0.3001024,17.463753,0.0,57295.777,0.3048,1000.0,0.0,126.966
18,7.130899,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.34653634,0.3001024,17.463753,0.0,71619.72,0.3048,1250.0,0.0,126.086
19,7.377759,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.80122477,0.3001024,17.463753,0.0,91673.24,0.3048,1600.0,0.0,126.986
20,7.6009026,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,0.9300395,0.3001024,17.463753,0.0,114591.555,0.3048,2000.0,0.0,126.616
21,7.824046,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.65012753,0.3001024,17.463753,0.0,143239.44,0.3048,2500.0,0.0,124.106
22,8.055158,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,0.850761,0.3001024,17.463753,0.0,180481.7,0.3048,3150.0,0.0,123.236
23,8.294049,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.6835038,0.3001024,17.463753,0.0,229183.11,0.3048,4000.0,0.0,121.106
24,8.517193,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.9879664,0.3001024,17.463753,0.0,286478.88,0.3048,5000.0,0.0,119.606
25,8.748305,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.89423966,0.3001024,17.463753,0.0,360963.4,0.3048,6300.0,0.0,117.976
26,8.987197,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,0.997843,0.3001024,17.463753,0.0,458366.22,0.3048,8000.0,0.0,116.476
27,9.2103405,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,-0.30561438,0.3001024,17.463753,0.0,572957.75,0.3048,10000.0,0.0,113.076
28,9.433484,4.016383,0.0053197634,4.9406954e-05,0.57561547,0.5007077,0.0028308022,0.2956991,-0.6320675,-1.146403,58.21828,2.7211125,3.0230818,0.0028308062,0.38680893,0.3001024,17.463753,0.0,716197.2,0.3048,12500.0,0.0,111.076
29,5.2983174,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.8732973,0.3001024,17.463753,0.0,11459.155,0.3048,200.0,0.0,118.129
30,5.521461,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.970528,0.3001024,17.463753,0.0,14323.944,0.3048,250.0,0.0,119.319
31,5.7525725,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.7451333,0.3001024,17.463753,0.0,18048.17,0.3048,315.0,0.0,122.779
32,5.9914646,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.85091937,0.3001024,17.463753,0.0,22918.31,0.3048,400.0,0.0,124.809
33,6.214608,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.4677718,0.3001024,17.463753,0.0,28647.889,0.3048,500.0,0.0,126.959
34,6.4457197,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.993882,0.3001024,17.463753,0.0,36096.34,0.3048,630.0,0.0,128.629
35,6.684612,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.89396966,0.3001024,17.463753,0.0,45836.62,0.3048,800.0,0.0,129.099
36,6.9077554,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.82687956,0.3001024,17.463753,0.0,57295.777,0.3048,1000.0,0.0,127.899
37,7.130899,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.34653634,0.3001024,17.463753,0.0,71619.72,0.3048,1250.0,0.0,125.499
38,7.377759,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.80122477,0.3001024,17.463753,0.0,91673.24,0.3048,1600.0,0.0,124.049
39,7.6009026,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.9300395,0.3001024,17.463753,0.0,114591.555,0.3048,2000.0,0.0,123.689
40,7.824046,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.65012753,0.3001024,17.463753,0.0,143239.44,0.3048,2500.0,0.0,121.399
41,8.055158,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.850761,0.3001024,17.463753,0.0,180481.7,0.3048,3150.0,0.0,120.319
42,8.294049,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.6835038,0.3001024,17.463753,0.0,229183.11,0.3048,4000.0,0.0,119.229
43,8.517193,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.9879664,0.3001024,17.463753,0.0,286478.88,0.3048,5000.0,0.0,117.789
44,8.748305,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.89423966,0.3001024,17.463753,0.0,360963.4,0.3048,6300.0,0.0,116.229
45,8.987197,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.997843,0.3001024,17.463753,0.0,458366.22,0.3048,8000.0,0.0,114.779
46,9.2103405,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,-0.30561438,0.3001024,17.463753,0.0,572957.75,0.3048,10000.0,0.0,112.139
47,9.433484,3.6788292,0.0053197634,5.4129294e-05,0.57561547,0.50077534,0.00310137,0.2956991,-0.61148536,-1.146403,42.31828,2.721383,3.0230818,0.0031013752,0.38680893,0.3001024,17.463753,0.0,716197.2,0.3048,12500.0,0.0,109.619
48,5.2983174,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.8732973,0.3001024,17.463753,0.0,11459.155,0.3048,200.0,0.0,117.195
49,5.521461,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.970528,0.3001024,17.463753,0.0,14323.944,0.3048,250.0,0.0,118.595
50,5.7525725,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,0.7451333,0.3001024,17.463753,0.0,18048.17,0.3048,315.0,0.0,122.765
51,5.9914646,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.85091937,0.3001024,17.463753,0.0,22918.31,0.3048,400.0,0.0,125.045
52,6.214608,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.4677718,0.3001024,17.463753,0.0,28647.889,0.3048,500.0,0.0,127.315
53,6.4457197,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,0.993882,0.3001024,17.463753,0.0,36096.34,0.3048,630.0,0.0,129.095
54,6.684612,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,0.89396966,0.3001024,17.463753,0.0,45836.62,0.3048,800.0,0.0,129.235
55,6.9077554,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,0.82687956,0.3001024,17.463753,0.0,57295.777,0.3048,1000.0,0.0,127.365
56,7.130899,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.34653634,0.3001024,17.463753,0.0,71619.72,0.3048,1250.0,0.0,124.355
57,7.377759,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.80122477,0.3001024,17.463753,0.0,91673.24,0.3048,1600.0,0.0,122.365
58,7.6009026,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,0.9300395,0.3001024,17.463753,0.0,114591.555,0.3048,2000.0,0.0,122.375
59,7.824046,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.65012753,0.3001024,17.463753,0.0,143239.44,0.3048,2500.0,0.0,120.755
60,8.055158,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,0.850761,0.3001024,17.463753,0.0,180481.7,0.3048,3150.0,0.0,119.135
61,8.294049,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.6835038,0.3001024,17.463753,0.0,229183.11,0.3048,4000.0,0.0,118.145
62,8.517193,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.9879664,0.3001024,17.463753,0.0,286478.88,0.3048,5000.0,0.0,115.645
63,8.748305,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.89423966,0.3001024,17.463753,0.0,360963.4,0.3048,6300.0,0.0,113.775
64,8.987197,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,0.997843,0.3001024,17.463753,0.0,458366.22,0.3048,8000.0,0.0,110.515
65,9.2103405,3.4563167,0.0053197634,5.7816822e-05,0.57561547,0.50082815,0.0033126478,0.2956991,-0.5954134,-1.146403,34.41828,2.7215943,3.0230818,0.0033126539,-0.30561438,0.3001024,17.463753,0.0,572957.75,0.3048,10000.0,0.0,108.265
66,6.684612,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,0.89396966,0.3001024,17.463753,85.943665,45836.62,0.3048,800.0,1.5,127.122
67,6.9077554,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,0.82687956,0.3001024,17.463753,85.943665,57295.777,0.3048,1000.0,1.5,125.992
68,7.130899,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,-0.34653634,0.3001024,17.463753,85.943665,71619.72,0.3048,1250.0,1.5,125.872
69,7.377759,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,-0.80122477,0.3001024,17.463753,85.943665,91673.24,0.3048,1600.0,1.5,126.632
70,7.6009026,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,0.9300395,0.3001024,17.463753,85.943665,114591.555,0.3048,2000.0,1.5,126.642
71,7.824046,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,-0.65012753,0.3001024,17.463753,85.943665,143239.44,0.3048,2500.0,1.5,124.512
72,8.055158,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,0.850761,0.3001024,17.463753,85.943665,180481.7,0.3048,3150.0,1.5,123.392
73,8.294049,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,-0.6835038,0.3001024,17.463753,85.943665,229183.11,0.3048,4000.0,1.5,121.762
74,8.517193,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,-0.9879664,0.3001024,17.463753,85.943665,286478.88,0.3048,5000.0,1.5,119.632
75,8.748305,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,-0.89423966,0.3001024,17.463753,85.943665,360963.4,0.3048,6300.0,1.5,118.122
76,8.987197,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,0.997843,0.3001024,17.463753,85.943665,458366.22,0.3048,8000.0,1.5,115.372
77,9.2103405,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,-0.30561438,0.3001024,17.463753,85.943665,572957.75,0.3048,10000.0,1.5,113.492
78,9.433484,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,0.38680893,0.3001024,17.463753,85.943665,716197.2,0.3048,12500.0,1.5,109.222
79,9.680344,4.2668962,0.0053197634,5.8770296e-05,0.57561547,0.50084186,0.003367277,0.2956991,-0.5912577,-0.89286005,74.01829,2.721649,3.0230818,0.0033672836,0.13100706,0.3001024,17.463753,85.943665,916732.44,0.3048,16000.0,1.5,106.582
80,5.7525725,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.7451333,0.3001024,17.463753,85.943665,18048.17,0.3048,315.0,1.5,121.851
81,5.9914646,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.85091937,0.3001024,17.463753,85.943665,22918.31,0.3048,400.0,1.5,124.001
82,6.214608,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.4677718,0.3001024,17.463753,85.943665,28647.889,0.3048,500.0,1.5,126.661
83,6.4457197,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.993882,0.3001024,17.463753,85.943665,36096.34,0.3048,630.0,1.5,128.311
84,6.684612,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.89396966,0.3001024,17.463753,85.943665,45836.62,0.3048,800.0,1.5,128.831
85,6.9077554,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.82687956,0.3001024,17.463753,85.943665,57295.777,0.3048,1000.0,1.5,127.581
86,7.130899,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.34653634,0.3001024,17.463753,85.943665,71619.72,0.3048,1250.0,1.5,125.211
87,7.377759,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.80122477,0.3001024,17.463753,85.943665,91673.24,0.3048,1600.0,1.5,122.211
88,7.6009026,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.9300395,0.3001024,17.463753,85.943665,114591.555,0.3048,2000.0,1.5,122.101
89,7.824046,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.65012753,0.3001024,17.463753,85.943665,143239.44,0.3048,2500.0,1.5,120.981
90,8.055158,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.850761,0.3001024,17.463753,85.943665,180481.7,0.3048,3150.0,1.5,119.111
91,8.294049,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.6835038,0.3001024,17.463753,85.943665,229183.11,0.3048,4000.0,1.5,117.741
92,8.517193,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.9879664,0.3001024,17.463753,85.943665,286478.88,0.3048,5000.0,1.5,116.241
93,8.748305,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.89423966,0.3001024,17.463753,85.943665,360963.4,0.3048,6300.0,1.5,114.751
94,8.987197,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.997843,0.3001024,17.463753,85.943665,458366.22,0.3048,8000.0,1.5,112.251
95,9.2103405,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,-0.30561438,0.3001024,17.463753,85.943665,572957.75,0.3048,10000.0,1.5,108.991
96,9.433484,3.6788292,0.0053197634,6.8435584e-05,0.57561547,0.50098026,0.00392105,0.2956991,-0.5491319,-0.89286005,42.31828,2.7222028,3.0230818,0.00392106,0.38680893,0.3001024,17.463753,85.943665,716197.2,0.3048,12500.0,1.5,106.111
97,5.9914646,4.2668962,0.0053197634,7.430338e-05,0.57561547,0.5010643,0.004257244,0.2956991,-0.5235573,-0.63931715,74.01829,2.722539,3.0230818,0.004257257,-0.85091937,0.3001024,17.463753,171.88733,22918.31,0.3048,400.0,3.0,127.564
98,6.214608,4.2668962,0.0053197634,7.430338e-05,0.57561547,0.5010643,0.004257244,0.2956991,-0.5235573,-0.63931715,74.01829,2.722539,3.0230818,0.004257257,-0.4677718,0.3001024,17.463753,171.88733,28647.889,0.3048,500.0,3.0,128.454
